,precinct,no_arrest,yes_arrest,year
0,1.0,2186.0,260.0,2010
1,5.0,2531.0,340.0,2010
2,6.0,3268.0,265.0,2010
3,7.0,2806.0,418.0,2010
4,9.0,4429.0,748.0,2010
5,10.0,2385.0,343.0,2010
6,13.0,3712.0,335.0,2010
7,14.0,11263.0,862.0,2010
8,17.0,1762.0,80.0,2010
9,18.0,2890.0,263.0,2010
10,19.0,3695.0,565.0,2010
11,20.0,4034.0,499.0,2010
12,22.0,1207.0,39.0,2010
13,23.0,15810.0,1471.0,2010
14,24.0,3449.0,556.0,2010
15,25.0,9353.0,1343.0,2010
16,26.0,4106.0,476.0,2010
17,28.0,7018.0,639.0,2010
18,30.0,4355.0,481.0,2010
19,32.0,9650.0,1075.0,2010
20,33.0,4003.0,355.0,2010
21,34.0,6313.0,487.0,2010
22,40.0,16164.0,1098.0,2010
23,41.0,7214.0,624.0,2010
24,42.0,10873.0,810.0,2010
25,43.0,10435.0,1072.0,2010
26,44.0,11696.0,1202.0,2010
27,45.0,4589.0,318.0,2010
28,46.0,11445.0,482.0,2010
29,47.0,8522.0,1167.0,2010
30,48.0,3141.0,502.0,2010
31,49.0,8224.0,453.0,2010
32,50.0,2395.0,264.0,2010
33,52.0,8894.0,835.0,2010
34,60.0,8545.0,690.0,2010
35,61.0,5170.0,269.0,2010
36,62.0,4796.0,180.0,2010
37,63.0,3300.0,149.0,2010
38,66.0,2360.0,419.0,2010
39,67.0,11516.0,429.0,2010
40,68.0,2381.0,258.0,2010
41,69.0,6283.0,283.0,2010
42,70.0,9997.0,294.0,2010
43,71.0,6944.0,268.0,2010
44,72.0,4053.0,337.0,2010
45,73.0,18819.0,720.0,2010
46,75.0,25855.0,1083.0,2010
47,76.0,5202.0,300.0,2010
48,77.0,10506.0,539.0,2010
49,78.0,2946.0,92.0,2010
50,79.0,14536.0,768.0,2010
51,81.0,10602.0,553.0,2010
52,83.0,8890.0,685.0,2010
53,84.0,3993.0,367.0,2010
54,88.0,6999.0,488.0,2010
55,90.0,9711.0,682.0,2010
56,94.0,1784.0,129.0,2010
57,100.0,3133.0,335.0,2010
58,101.0,9212.0,795.0,2010
59,102.0,7522.0,884.0,2010
60,103.0,15291.0,1129.0,2010
61,104.0,7259.0,332.0,2010
62,105.0,8905.0,842.0,2010
63,106.0,7987.0,459.0,2010
64,107.0,6386.0,337.0,2010
65,108.0,6283.0,460.0,2010
66,109.0,9838.0,362.0,2010
67,110.0,13709.0,659.0,2010
68,111.0,4424.0,281.0,2010
69,112.0,2904.0,291.0,2010
70,113.0,8535.0,619.0,2010
71,114.0,10217.0,670.0,2010
72,115.0,13516.0,507.0,2010
73,120.0,17422.0,1107.0,2010
74,122.0,6413.0,188.0,2010
75,123.0,2240.0,118.0,2010
0,1.0,3411.0,215.0,2011
1,5.0,2746.0,372.0,2011
2,6.0,2732.0,222.0,2011
3,7.0,3683.0,494.0,2011
4,9.0,4472.0,895.0,2011
5,10.0,2780.0,309.0,2011
6,13.0,4711.0,541.0,2011
7,14.0,9965.0,700.0,2011
8,17.0,1954.0,106.0,2011
9,18.0,3309.0,324.0,2011
10,19.0,4608.0,642.0,2011
11,20.0,4820.0,417.0,2011
12,22.0,1363.0,53.0,2011
13,23.0,16547.0,951.0,2011
14,24.0,4353.0,565.0,2011
15,25.0,9091.0,835.0,2011
16,26.0,4493.0,498.0,2011
17,28.0,8227.0,511.0,2011
18,30.0,6844.0,706.0,2011
19,32.0,11666.0,1193.0,2011
20,33.0,6656.0,385.0,2011
21,34.0,11114.0,434.0,2011
22,40.0,16569.0,1121.0,2011
23,41.0,10826.0,503.0,2011
24,42.0,11628.0,786.0,2011
25,43.0,16081.0,1200.0,2011
26,44.0,15639.0,1264.0,2011
27,45.0,5016.0,346.0,2011
28,46.0,13405.0,313.0,2011
29,47.0,10017.0,919.0,2011
30,48.0,4912.0,353.0,2011
31,49.0,8117.0,378.0,2011
32,50.0,2379.0,304.0,2011
33,52.0,12991.0,657.0,2011
34,60.0,9282.0,670.0,2011
35,61.0,6355.0,265.0,2011
36,62.0,4191.0,194.0,2011
37,63.0,4348.0,237.0,2011
38,66.0,3501.0,326.0,2011
39,67.0,12673.0,420.0,2011
40,68.0,2569.0,321.0,2011
41,69.0,5918.0,199.0,2011
42,70.0,12050.0,254.0,2011
43,71.0,5487.0,527.0,2011
44,72.0,6755.0,222.0,2011
45,73.0,24020.0,1147.0,2011
46,75.0,29995.0,1105.0,2011
47,76.0,4411.0,248.0,2011
48,77.0,10913.0,492.0,2011
49,78.0,3388.0,167.0,2011
50,79.0,13944.0,551.0,2011
51,81.0,13191.0,460.0,2011
52,83.0,14248.0,773.0,2011
53,84.0,4916.0,298.0,2011
54,88.0,7164.0,570.0,2011
55,90.0,17014.0,552.0,2011
56,94.0,1886.0,137.0,2011
57,100.0,4752.0,360.0,2011
58,101.0,11044.0,532.0,2011
59,102.0,8748.0,738.0,2011
60,103.0,15954.0,1198.0,2011
61,104.0,6315.0,559.0,2011
62,105.0,8780.0,1011.0,2011
63,106.0,8378.0,265.0,2011
64,107.0,5218.0,365.0,2011
65,108.0,5440.0,420.0,2011
66,109.0,12016.0,848.0,2011
67,110.0,10118.0,677.0,2011
68,111.0,4425.0,255.0,2011
69,112.0,3122.0,285.0,2011
70,113.0,11764.0,595.0,2011
71,114.0,9603.0,740.0,2011
72,115.0,17485.0,671.0,2011
73,120.0,15221.0,1269.0,2011
74,122.0,9192.0,343.0,2011
75,123.0,1922.0,105.0,2011
0,1.0,2864.0,189.0,2012
1,5.0,2478.0,304.0,2012
2,6.0,3437.0,200.0,2012
3,7.0,3119.0,382.0,2012
4,9.0,4274.0,1008.0,2012
5,10.0,2129.0,277.0,2012
6,13.0,3357.0,473.0,2012
7,14.0,8465.0,480.0,2012
8,17.0,1219.0,112.0,2012
9,18.0,2691.0,287.0,2012
10,19.0,4066.0,586.0,2012
11,20.0,2931.0,335.0,2012
12,22.0,566.0,26.0,2012
13,23.0,10567.0,528.0,2012
14,24.0,3808.0,410.0,2012
15,25.0,5715.0,658.0,2012
16,26.0,5045.0,443.0,2012
17,28.0,6411.0,296.0,2012
18,30.0,5548.0,621.0,2012
19,32.0,9943.0,821.0,2012
20,33.0,3380.0,240.0,2012
21,34.0,9273.0,402.0,2012
22,40.0,17232.0,1044.0,2012
23,41.0,8207.0,404.0,2012
24,42.0,7074.0,687.0,2012
25,43.0,9837.0,818.0,2012
26,44.0,14079.0,1335.0,2012
27,45.0,3672.0,323.0,2012
28,46.0,5372.0,256.0,2012
29,47.0,8319.0,629.0,2012
30,48.0,5237.0,193.0,2012
31,49.0,5429.0,349.0,2012
32,50.0,1629.0,203.0,2012
33,52.0,9365.0,446.0,2012
34,60.0,7285.0,500.0,2012
35,61.0,6497.0,193.0,2012
36,62.0,4276.0,195.0,2012
37,63.0,3466.0,197.0,2012
38,66.0,3113.0,322.0,2012
39,67.0,10530.0,302.0,2012
40,68.0,2373.0,184.0,2012
41,69.0,5201.0,168.0,2012
42,70.0,11096.0,152.0,2012
43,71.0,4322.0,354.0,2012
44,72.0,4969.0,230.0,2012
45,73.0,21635.0,513.0,2012
46,75.0,23796.0,612.0,2012
47,76.0,4196.0,284.0,2012
48,77.0,9563.0,371.0,2012
49,78.0,3182.0,99.0,2012
50,79.0,14805.0,489.0,2012
51,81.0,9333.0,376.0,2012
52,83.0,11237.0,574.0,2012
53,84.0,3625.0,205.0,2012
54,88.0,5518.0,430.0,2012
55,90.0,9371.0,475.0,2012
56,94.0,1946.0,146.0,2012
57,100.0,3896.0,234.0,2012
58,101.0,9366.0,404.0,2012
59,102.0,6027.0,822.0,2012
60,103.0,11942.0,1044.0,2012
61,104.0,4453.0,440.0,2012
62,105.0,7327.0,871.0,2012
