,precinct,2010_no_arrest,2010_yes_arrest,2011_no_arrest,2011_yes_arrest,2012_no_arrest,2012_yes_arrest,2013_no_arrest,2013_yes_arrest,2014_no_arrest,2014_yes_arrest,2015_no_arrest,2015_yes_arrest,2016_no_arrest,2016_yes_arrest,2017_no_arrest,2017_yes_arrest,2018_no_arrest,2018_yes_arrest
0,1.0,2186.0,260.0,3411.0,215.0,2864.0,189.0,1066.0,93.0,77.0,11.0,41.0,4.0,46.0,7.0,41.0,6.0,73.0,26.0
1,5.0,2531.0,340.0,2746.0,372.0,2478.0,304.0,994.0,122.0,215.0,60.0,160.0,27.0,63.0,17.0,57.0,51.0,65.0,22.0
2,6.0,3268.0,265.0,2732.0,222.0,3437.0,200.0,1170.0,103.0,95.0,12.0,24.0,3.0,22.0,9.0,37.0,16.0,42.0,61.0
3,7.0,2806.0,418.0,3683.0,494.0,3119.0,382.0,913.0,207.0,245.0,88.0,136.0,29.0,41.0,12.0,58.0,52.0,101.0,37.0
4,9.0,4429.0,748.0,4472.0,895.0,4274.0,1008.0,1744.0,571.0,303.0,291.0,167.0,94.0,63.0,17.0,100.0,81.0,80.0,38.0
5,10.0,2385.0,343.0,2780.0,309.0,2129.0,277.0,1025.0,194.0,102.0,45.0,103.0,9.0,52.0,13.0,44.0,27.0,51.0,32.0
6,13.0,3712.0,335.0,4711.0,541.0,3357.0,473.0,1239.0,316.0,301.0,190.0,212.0,119.0,68.0,25.0,97.0,98.0,107.0,74.0
7,14.0,11263.0,862.0,9965.0,700.0,8465.0,480.0,3233.0,215.0,458.0,99.0,256.0,55.0,99.0,22.0,84.0,18.0,63.0,28.0
8,17.0,1762.0,80.0,1954.0,106.0,1219.0,112.0,432.0,61.0,127.0,26.0,100.0,21.0,31.0,7.0,28.0,15.0,16.0,15.0
9,18.0,2890.0,263.0,3309.0,324.0,2691.0,287.0,836.0,118.0,134.0,7.0,89.0,11.0,85.0,13.0,36.0,21.0,76.0,20.0
10,19.0,3695.0,565.0,4608.0,642.0,4066.0,586.0,1054.0,334.0,252.0,134.0,140.0,110.0,53.0,38.0,91.0,37.0,130.0,87.0
11,20.0,4034.0,499.0,4820.0,417.0,2931.0,335.0,1182.0,158.0,234.0,53.0,122.0,28.0,31.0,3.0,36.0,19.0,33.0,38.0
12,22.0,1207.0,39.0,1363.0,53.0,566.0,26.0,125.0,16.0,76.0,7.0,34.0,4.0,23.0,1.0,23.0,2.0,20.0,4.0
13,23.0,15810.0,1471.0,16547.0,951.0,10567.0,528.0,3480.0,307.0,498.0,221.0,299.0,41.0,226.0,57.0,231.0,115.0,266.0,81.0
14,24.0,3449.0,556.0,4353.0,565.0,3808.0,410.0,713.0,148.0,181.0,63.0,134.0,39.0,85.0,17.0,118.0,50.0,103.0,81.0
15,25.0,9353.0,1343.0,9091.0,835.0,5715.0,658.0,2047.0,359.0,459.0,303.0,284.0,127.0,162.0,46.0,127.0,64.0,179.0,44.0
16,26.0,4106.0,476.0,4493.0,498.0,5045.0,443.0,1410.0,170.0,124.0,66.0,72.0,25.0,40.0,11.0,45.0,32.0,50.0,47.0
17,28.0,7018.0,639.0,8227.0,511.0,6411.0,296.0,1377.0,115.0,227.0,44.0,137.0,16.0,69.0,13.0,91.0,54.0,83.0,25.0
18,30.0,4355.0,481.0,6844.0,706.0,5548.0,621.0,2461.0,298.0,259.0,60.0,97.0,20.0,77.0,17.0,65.0,22.0,83.0,20.0
19,32.0,9650.0,1075.0,11666.0,1193.0,9943.0,821.0,2840.0,309.0,288.0,128.0,256.0,81.0,126.0,46.0,108.0,83.0,91.0,49.0
20,33.0,4003.0,355.0,6656.0,385.0,3380.0,240.0,2088.0,127.0,268.0,32.0,80.0,9.0,19.0,1.0,136.0,63.0,100.0,28.0
21,34.0,6313.0,487.0,11114.0,434.0,9273.0,402.0,3892.0,292.0,301.0,92.0,110.0,14.0,68.0,15.0,140.0,52.0,144.0,44.0
22,40.0,16164.0,1098.0,16569.0,1121.0,17232.0,1044.0,3992.0,600.0,230.0,668.0,387.0,540.0,139.0,130.0,258.0,114.0,207.0,104.0
23,41.0,7214.0,624.0,10826.0,503.0,8207.0,404.0,1456.0,109.0,936.0,79.0,448.0,79.0,87.0,24.0,67.0,20.0,49.0,23.0
24,42.0,10873.0,810.0,11628.0,786.0,7074.0,687.0,2133.0,291.0,453.0,245.0,222.0,153.0,69.0,55.0,183.0,100.0,193.0,61.0
25,43.0,10435.0,1072.0,16081.0,1200.0,9837.0,818.0,2661.0,289.0,273.0,154.0,224.0,181.0,105.0,62.0,65.0,38.0,286.0,110.0
26,44.0,11696.0,1202.0,15639.0,1264.0,14079.0,1335.0,2873.0,563.0,1139.0,191.0,398.0,63.0,87.0,10.0,204.0,82.0,149.0,72.0
27,45.0,4589.0,318.0,5016.0,346.0,3672.0,323.0,1074.0,91.0,257.0,41.0,234.0,28.0,32.0,17.0,99.0,16.0,89.0,14.0
