,precinct,lim_eng_other_lang_tot,total_spanish_speaking,born_outside_us,tot_w_race,white,black,am_indian_alask_native,nat_hawai_pac_isl,asian,other_race,two_more_race,lim_eng_other_perc,unemployment_rate,median_fam_income,median_income,fam_below_pov_line
0,1.0,27,2853,1515,73428,55177,1909,80,10,12286,1075,2891,-153846144.1076923,3.130769230769231,202088.07692307694,2679.5384615384614,-888888888.0
1,5.0,8,4920,1643,57974,16413,3866,303,5,33602,2020,1765,-424242422.3363636,6.527272727272728,83063.45454545454,2117.3636363636365,-888888888.0
2,6.0,0,2575,1197,62780,53498,1334,84,4,5406,612,1842,-222222222.0,3.858333333333334,203360.41666666666,2832.8333333333335,-888888888.0
3,7.0,31,13115,4469,48995,17621,4467,274,0,15084,9559,1990,-266666653.07,7.340000000000001,60776.7,2199.6,-888888888.0
4,9.0,0,12314,4622,67694,41403,6130,133,65,9169,8593,2201,-190476190.2857143,5.928571428571429,102720.78571428571,2349.285714285714,-888888888.0
5,10.0,0,7342,2140,64211,45259,5357,111,0,9557,2196,1731,0.0,5.809090909090909,153792.9090909091,3180.4545454545455,-888888888.0
6,13.0,0,5977,2423,80531,61146,3924,268,45,11507,1109,2532,-55555555.5,4.266666666666667,189056.66666666666,3359.3333333333335,-888888888.0
7,14.0,0,1166,333,14456,8674,810,32,5,4141,281,513,-190476190.2857143,3.7857142857142856,184745.14285714287,1139.4285714285713,-888888888.0
8,17.0,138,3348,1604,81367,61909,1913,62,25,14288,802,2368,-190476179.3142857,3.135714285714286,209600.85714285713,3323.285714285714,-888888888.0
9,18.0,90,7502,1616,57543,39936,3234,281,53,9335,3006,1698,-142857136.41428572,3.535714285714286,158533.7142857143,2403.5714285714284,-888888888.0
10,19.0,90,14978,4342,210572,176778,4804,282,112,18360,4530,5706,-64516125.93225807,2.8225806451612905,212348.64516129033,3568.7741935483873,-888888888.0
11,20.0,165,7173,3290,105199,85277,3670,81,18,10970,2463,2720,10.792857142857144,4.257142857142858,215515.07142857142,3921.0714285714284,-888888888.0
12,23.0,82,25889,5222,68916,25943,19502,200,172,7096,13870,2133,-55555540.475,10.783333333333333,63836.75,2303.25,-888888888.0
13,24.0,76,19067,4839,106820,70948,12886,684,0,9207,9073,4022,7.966666666666666,5.575,148018.5,4173.333333333333,-888888888.0
14,25.0,71,20426,3903,58401,10299,26021,313,20,3091,16079,2578,-60606044.6090909,9.127272727272725,37278.09090909091,2133.909090909091,-888888888.0
15,26.0,81,9484,1529,48309,22403,11502,331,36,6703,5529,1805,23.366666666666667,4.977777777777778,93240.77777777778,1798.3333333333333,-888888888.0
16,28.0,123,7932,1721,51504,14170,27299,105,31,2959,5162,1778,12.78,6.38,73292.4,2002.9,-888888888.0
17,30.0,246,28962,2342,66015,20348,20392,321,0,2587,11422,10945,-74074050.18888889,7.166666666666667,49111.555555555555,2623.5555555555557,-888888888.0
18,32.0,152,15587,2214,83486,12352,54344,396,98,1775,10621,3900,14.92,11.56,51148.066666666666,2307.0666666666666,-888888888.0
19,33.0,68,55055,3263,85084,26205,14416,992,88,3004,31955,8424,-121212111.23636363,9.4,47828.0,2489.3636363636365,-888888888.0
20,34.0,17,74376,5090,126691,50784,12685,690,157,3056,51152,8167,-111111110.06666666,8.644444444444446,63948.833333333336,2478.222222222222,-888888888.0
21,40.0,447,52442,9023,97771,11751,31912,765,135,523,49662,3023,-31746004.0,11.261904761904763,31360.285714285714,1581.095238095238,-888888888.0
22,41.0,128,32777,5948,55859,6067,17007,279,67,495,30646,1298,-205128185.03846154,10.215384615384616,28925.30769230769,1348.6923076923076,-888888888.0
23,42.0,365,41939,6875,87450,8238,36655,617,117,594,38729,2500,21.233333333333334,11.972222222222221,29504.88888888889,1601.7777777777778,-888888888.0
24,43.0,318,81427,18159,182381,44678,63765,1709,20,11914,52351,7944,-90090071.372973,11.772972972972974,44864.51351351351,1675.6216216216217,-888888888.0
25,44.0,584,84641,7965,151526,17333,52896,861,30,2978,71992,5436,-21505356.25483871,10.512903225806449,33712.6129032258,1653.225806451613,-888888888.0
26,45.0,197,35664,9354,125755,52136,32466,276,48,7063,29110,4656,-271604934.8518519,7.096296296296296,74060.85185185185,1820.4444444444443,-888888888.0
27,46.0,637,79919,7179,138049,14194,44866,673,95,2110,72111,4000,-22988483.35172414,12.575862068965519,29226.58620689655,1532.3103448275863,-888888888.0
28,47.0,211,27350,8521,157137,19697,107957,1230,187,4666,19191,4209,-45454540.31136363,10.211363636363636,62542.77272727273,1161.7954545454545,-888888888.0
29,48.0,150,45210,7113,86855,15640,25216,337,55,1016,41867,2724,-95238086.97142857,15.161904761904761,30771.619047619046,1348.8095238095239,-888888888.0
30,49.0,364,43865,11100,124894,42476,31059,1087,110,9140,36848,4174,-119658102.06923077,9.3,63225.58974358974,1109.8461538461538,-888888888.0
31,50.0,240,39278,4275,105112,47953,16048,507,110,4549,30574,5371,-27777765.441666663,7.649999999999999,86487.45833333333,1698.7083333333333,-888888888.0
32,52.0,461,83110,9689,144273,25298,27577,1290,22,8222,75693,6171,28.2,11.948148148148148,38477.77777777778,1818.4074074074074,-888888888.0
33,60.0,291,11521,3830,107812,68623,14078,336,24,13460,8550,2741,-74074045.88148148,9.42222222222222,52180.07407407407,1617.148148148148,-888888888.0
34,61.0,1133,10898,2736,160432,113671,6844,479,208,29236,6578,3416,-51282027.86346153,7.065384615384617,74896.73076923077,1126.0384615384614,-888888888.0
35,62.0,838,19841,3978,191977,93101,2363,497,40,76738,16000,3238,-48484815.24545453,6.7690909090909095,62072.67272727273,1157.3818181818183,-888888888.0
36,63.0,341,8222,2384,122785,48492,59918,153,9,7616,4709,1888,-86956506.08043478,7.830434782608696,90008.73913043478,862.5652173913044,-888888888.0
37,66.0,703,18939,5691,184812,129276,4509,663,0,32737,13610,4017,24.60816326530612,5.99795918367347,51267.26530612245,1063.3877551020407,-888888888.0
38,67.0,170,9612,2565,164404,6455,145638,201,11,2513,6756,2830,-108843529.99591835,8.169387755102042,60867.836734693876,1212.1632653061224,-888888888.0
39,68.0,822,13057,3596,126005,79045,2439,551,47,31680,8740,3503,-14492731.85869565,6.47608695652174,84453.56521739131,1051.3695652173913,-888888888.0
40,69.0,60,4719,2006,91438,5913,78436,436,0,2612,3068,973,-78431366.11470589,6.767647058823528,77045.67647058824,868.2941176470588,-888888888.0
41,70.0,556,21001,3767,159754,70026,52690,363,0,16934,15745,3996,20.319047619047623,7.785714285714287,68227.54761904762,1330.7619047619048,-888888888.0
