,precinct,total_pop,total_male,total_female,m_10_14,m_15_17,m_18_19,m_20,m_21,m_22_24,m_25_29,m_30_34,m_35_39,m_40_44,m_45_49,m_50_54,m_55_59,m_60_61,m_62_64,m_65_66,m_67_69,m_70_74,m_75_79,m_80_84,m_85plus,f_under5,f_5_9,f_10_14,f_15_17,f_18_19,f_20,f_21,f_22_24,f_25_29,f_30_34,f_35_39,f_40_44,f_45_49,f_50_54,f_55_59,f_60_61,f_62_64,f_65_66,f_67_69,f_70_74,f_75_79,f_80_84,f_85plus,Bm_15_17,Bm_18_19,Bm_20_24,Bm_25_29,Bm_30_34,Bm_35_44
0,1.0,73428,35929,37499,1325,705,487,181,348,1119,4166,4917,4115,3257,2367,1944,1660,918,890,420,579,602,544,293,249,2464,1658,932,551,718,255,360,2243,5112,5248,3957,3104,2369,1574,1414,782,966,674,766,935,477,364,576,9,47,28,82,88,142
1,5.0,57974,29511,28463,945,449,608,364,290,1570,3462,2854,2777,1829,2188,1913,1673,716,914,635,760,1109,916,739,564,823,949,702,509,617,590,602,1328,2891,2338,2282,1712,1148,1779,1619,833,1122,982,918,1112,1163,1006,1438,64,85,249,279,201,296
2,6.0,62780,30924,31856,597,330,1138,106,269,849,3879,4543,3601,1953,2152,1887,1692,644,1231,684,866,1058,571,697,554,1218,886,669,418,1629,432,288,1480,4784,4098,2415,1615,1794,1333,1844,784,1014,637,1014,1260,877,618,749,50,110,28,51,129,137
3,7.0,48995,23014,25981,1060,555,342,119,386,1210,2204,2555,1678,1436,1604,1560,1148,521,680,525,493,1004,538,723,775,1046,663,909,734,460,156,325,967,2686,1556,1626,1426,2110,1425,1616,876,1353,641,609,1607,1221,690,1279,29,39,220,138,284,244
4,9.0,74187,36301,37886,941,957,1579,539,507,1920,6191,4489,3508,2160,2137,2049,2031,801,1008,398,817,1205,479,276,429,1121,599,960,667,2264,918,821,1875,6109,4246,2773,2142,2320,1977,2021,649,1162,855,1004,1205,574,689,935,78,150,168,300,132,237
5,10.0,64211,33209,31002,505,334,400,203,333,1349,3821,4456,3374,3254,2472,2317,2264,662,1473,750,660,706,838,330,252,1207,589,1045,612,803,403,401,1665,4963,4223,2364,1734,1918,1100,1887,868,764,487,780,1223,1012,372,582,55,121,94,368,57,161
6,13.0,80531,37959,42572,1243,282,1144,473,277,2819,5955,4520,2793,2261,2847,2127,2162,689,1019,768,1061,1258,902,420,575,1453,978,775,670,1804,1188,857,3009,6693,3967,3115,2506,1955,2015,2193,1165,1304,1041,1020,2041,961,654,1208,23,85,167,44,80,220
7,14.0,15598,8442,7156,59,51,78,182,137,378,1340,1303,954,784,401,548,560,233,242,101,196,200,156,156,47,237,45,70,39,342,350,224,849,1135,958,622,371,310,460,251,107,230,77,124,123,86,99,47,0,32,84,16,53,172
8,17.0,83058,37947,45111,512,308,290,114,113,2331,5963,4512,3083,2008,1703,2360,2661,990,1105,1078,1221,1486,1338,1227,871,1498,812,608,378,573,278,406,2388,7625,5188,2942,2790,2256,2795,2453,1095,1142,1402,1491,2280,1722,1453,1536,12,29,155,61,77,162
9,18.0,57599,30932,26667,225,239,47,243,462,1845,4419,4939,2492,3255,2420,2214,2170,547,994,848,654,833,544,418,233,823,519,356,291,194,401,129,1805,3889,3338,1894,1749,1293,1638,1665,855,837,674,919,1319,1035,524,520,28,0,67,139,329,248
10,19.0,210572,91348,119224,3525,2116,545,192,225,2822,8431,9392,8308,6118,6402,5896,5185,2116,2856,2217,2507,4200,3437,2486,2462,5778,5212,3345,1449,752,400,457,3486,15479,14414,9555,7036,6765,6832,6281,3104,3436,3475,3962,5916,4836,3281,3973,53,49,48,134,187,376
11,20.0,105199,47358,57841,1583,906,492,310,183,704,3388,5177,4171,3258,3839,3744,2944,1553,1324,1187,1509,2645,1159,798,1132,2812,2093,2111,783,597,350,426,1546,5357,5929,5343,4450,3788,3407,4147,1508,1940,1303,2076,3228,1762,1190,1695,0,20,98,174,414,189
12,22.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,23.0,68916,31412,37504,1961,1200,851,738,399,1676,3514,3352,2239,1694,1862,1865,1536,681,1155,419,541,808,563,447,356,1629,1574,1800,1072,1153,475,462,2133,4375,3326,2497,2275,2185,2046,2601,859,1256,606,1028,1154,1257,855,886,518,325,671,915,592,807
14,24.0,106820,47962,58858,2176,1014,560,131,277,1349,4951,3926,2849,3813,3475,3265,3437,1447,2054,1237,1478,2478,1223,1109,1407,2867,2456,2273,1195,628,608,121,2049,5825,4382,3878,4353,3840,4369,3234,1486,2708,1720,2494,3153,1661,1482,2076,284,200,251,483,129,372
15,25.0,60215,28563,31652,2511,1309,961,308,377,1566,2903,2203,2043,1900,1273,2084,1706,487,715,311,527,537,356,286,523,1801,1645,1797,1153,654,359,382,1574,2513,2496,2524,2363,2257,2338,1744,740,757,499,775,1066,731,665,819,669,329,968,1265,914,1581
16,26.0,48911,22208,26703,1017,532,1458,829,705,2176,3356,1788,1374,879,1214,1102,948,343,549,394,171,474,474,324,294,883,892,991,568,2822,1108,1305,2485,3089,1842,1633,857,1246,987,1167,375,646,326,588,857,648,719,669,184,184,508,631,355,562
17,28.0,51504,24179,27325,1154,723,209,256,594,1338,2613,2306,1750,1871,1700,2173,1566,504,576,351,546,422,422,163,127,1804,1380,1157,601,427,342,215,1409,3342,3422,1811,1741,2019,1877,1614,472,883,395,628,520,374,318,574,382,115,1270,1082,916,1713
18,30.0,66015,33641,32374,1588,1354,746,574,563,2639,4187,3686,2522,2170,2352,2060,1877,683,790,472,545,534,405,366,436,1658,1464,1320,766,399,392,470,2083,3466,3302,2089,1846,2409,2710,1565,777,1160,558,659,1112,947,569,653,309,165,976,867,1049,1441
19,32.0,83486,38009,45477,2167,986,975,378,935,2188,4089,3634,2427,2797,2466,2926,1786,788,1025,365,723,751,634,189,351,3105,2330,2324,1409,1019,452,785,2079,4734,4151,3771,2752,2713,3022,2687,925,1384,748,787,1598,661,930,1111,620,655,2181,2200,1715,3239
20,33.0,85084,41687,43397,1902,1044,763,694,400,2354,6375,4697,3138,2655,2676,2545,2724,935,934,660,931,1082,748,498,385,2318,1934,1566,1095,870,544,823,2771,5179,3568,2907,2250,2667,2459,2887,1322,1345,927,985,1292,1530,958,1200,166,145,500,769,695,814
21,34.0,126708,61390,65318,3087,1514,1850,901,1049,3168,6397,5742,4975,4321,4291,3492,2933,1465,2093,1053,1231,1867,1170,802,862,3323,2804,2809,2045,1245,665,751,3199,6174,6345,4928,4172,4133,4186,3805,1580,2280,1402,1754,2458,1687,1265,2308,143,163,397,829,741,642
22,40.0,97771,45753,52018,4227,2062,1508,1027,910,2634,4267,3229,3096,2262,2197,2581,2060,631,869,532,401,1011,738,346,98,3951,4309,3501,2570,1644,903,1079,2198,3852,4092,3879,3048,3525,3084,2833,1119,929,635,809,1222,1055,871,910,690,538,1374,1471,912,1214
23,41.0,55859,27498,28361,2453,1188,948,397,629,1643,2363,2366,1889,1277,1744,1441,1294,781,599,224,341,457,390,216,169,1822,2052,2196,1421,824,520,404,1090,2296,2202,2389,2024,1932,1840,1106,385,649,440,510,877,516,441,425,261,275,899,772,773,1135
24,42.0,87450,40206,47244,2964,2194,1141,668,612,2256,3643,2493,2087,2267,2716,2564,2449,781,990,404,687,711,545,371,104,4365,3506,3674,1920,1434,634,863,2019,4007,3900,3476,2715,2893,2766,2616,954,1032,876,756,1178,787,350,523,952,368,1220,1428,912,2061
25,43.0,182511,85335,97176,5727,3390,2600,1426,1477,4693,7226,6400,5407,4551,6369,5233,4693,1618,2217,1202,1708,2238,1781,1074,674,6448,5664,5890,3746,1812,1308,1540,4902,7554,6496,7191,5932,6414,6927,5940,2515,3417,1814,2296,3200,2980,1506,1684,1225,718,2806,2392,2235,2871
26,44.0,151526,71080,80446,5707,3950,2223,1430,1448,3358,6021,5738,4290,4401,4732,4304,3619,1216,1765,747,983,1594,923,572,543,5175,6063,6238,3274,2250,1111,1367,3885,6478,6067,5245,5584,4839,5659,4505,1576,2173,1441,1486,2243,1549,959,1279,1171,694,2128,1896,1872,2632
27,45.0,125904,58981,66923,3764,1806,1457,994,1029,2726,3399,3589,3695,4371,4130,4144,3753,2120,1900,1208,1665,2596,1610,1118,1022,3243,3266,2766,1812,1202,1210,784,2680,4549,4493,4186,3882,5004,4495,4279,1785,2817,2125,1623,3210,2933,1796,2783,565,308,754,744,759,1735
28,46.0,138049,63444,74605,4788,3202,2068,1347,1428,3511,6016,4737,3669,3667,3128,4499,3501,911,1335,790,1073,1168,553,255,273,6016,4977,5583,3535,2293,1131,1510,3644,6853,5338,5042,4485,5241,5106,4183,1502,1593,1174,1328,1731,1160,531,649,1121,520,1883,2132,1580,2371
29,47.0,157137,71432,85705,4975,3084,1993,1305,1244,3757,5538,4041,4123,5004,5029,5355,4165,1564,2289,1137,1704,1961,1595,1014,888,5034,4752,4974,3423,2314,1430,1560,3911,6849,5579,5231,5462,6358,5961,5707,1870,2819,1445,2141,2889,2430,1754,1812,2197,1482,4114,3545,2790,6111
30,48.0,86855,40681,46174,3295,2512,1864,1459,909,1994,3926,2660,2248,2151,2261,2319,1958,591,845,450,605,805,601,283,296,3887,3160,2991,1830,2325,1275,744,2378,4033,3327,2781,2629,3055,3033,2147,653,885,643,829,1572,920,582,495,886,344,1094,1054,565,1270
31,49.0,125489,60350,65139,3962,2683,1834,831,600,2596,5294,4263,4424,4056,3877,3901,3641,1196,1757,1053,1376,1724,1475,984,857,3655,3860,3499,2129,1223,889,785,2849,5503,4725,4377,4574,4295,4168,3842,1506,2126,1332,1757,2100,1795,1848,2302,761,379,980,1157,986,2322
32,50.0,105748,49710,56038,2939,1617,1598,1027,545,1634,3781,4053,2692,3256,3646,2435,2679,1180,1412,1236,1466,1562,1394,916,1012,3197,2972,2228,1343,962,946,950,2127,4327,4155,3781,3082,3509,3291,3469,1508,2151,1451,1900,2192,2278,1487,2732,220,175,347,722,668,801
33,52.0,144273,68930,75343,4866,2952,1817,1183,967,3579,7242,6245,4650,4305,4117,4020,3022,1735,1854,989,1093,1350,1013,556,395,6573,5324,4792,2721,1739,888,1123,3707,6348,6248,5241,4095,4414,5436,4402,1790,2291,1121,1500,2251,1088,1127,1124,380,336,1050,1508,1161,1875
34,60.0,107812,48780,59032,3039,1732,883,425,663,1620,3874,2777,3190,2594,2888,2992,3044,1101,1793,1325,1866,1794,2133,1414,1416,3291,2966,2526,1405,1336,727,825,1410,3090,3476,3373,3508,3204,3778,3836,1861,2554,1666,2451,2726,3886,2345,2792,318,135,484,590,380,497
35,61.0,160432,77734,82698,4733,2607,1494,961,915,3122,5501,5136,4826,4788,4783,5080,5232,2170,2733,2118,2336,2695,2424,1400,1786,5429,4864,4303,2570,1451,750,736,3091,6103,5236,5376,4728,5319,5496,5879,2135,3350,2178,2835,3327,2615,1775,3152,169,32,185,272,332,276
36,62.0,191977,94215,97762,5485,3212,1686,1082,1154,3469,7984,8202,6629,6314,5805,6456,6206,2131,3315,2000,2217,2644,2254,1825,1810,6846,5020,4358,2876,1652,862,1027,3460,7887,7655,6836,6897,6348,6835,6413,2401,3685,2169,2716,3160,2651,2641,3367,56,18,137,91,169,161
37,63.0,122809,58229,64580,4240,2628,1500,865,679,2200,4068,3833,3589,3508,3646,3836,4142,1362,2243,1468,1690,1665,1453,816,893,3480,3807,4121,2472,1283,916,523,2503,3858,4333,3626,4344,4337,4862,4680,1865,2718,1634,1750,2697,1683,1347,1741,1364,730,1922,2284,2121,3203
38,66.0,187731,94937,92794,8564,4775,2504,1544,1074,4372,7036,6915,5838,5340,4082,4404,4146,1510,2603,1793,1876,1846,1324,1006,1369,10699,8388,8312,4501,1952,1239,1266,3234,7219,6253,5395,5312,4073,3654,4217,1779,2728,2127,2339,2010,1605,1813,2679,46,15,193,244,412,522
