Precinct,january,february,march,april,may,june,july,august,september,october,november,december,total
1,13566,12094,13341,13834,14805,14038,14456,14608,13823,14026,12946,12413,163950
10,5474,4985,5748,5714,6550,6827,7281,7077,7158,7543,6166,6583,77106
100,2651,2048,2635,2441,3053,2991,3713,3354,2916,2781,2655,2658,33896
101,5110,4108,4805,4583,4908,5284,5846,5426,5940,5227,5405,4869,61511
102,9277,8768,9915,8639,9810,9322,9818,9939,8940,8951,8121,8326,109826
103,10719,10098,10646,10616,11708,12001,13219,12209,11546,11111,10589,10880,135342
104,8939,6747,8035,7827,8303,9187,9350,8689,8486,8842,9359,11466,105230
105,13725,11928,12688,11802,13109,13344,13910,13352,13094,13255,12910,13813,156930
106,7583,6604,7972,7298,8299,8826,9211,8708,8290,8612,7523,8098,97024
107,8578,7345,8809,8065,8862,8947,8891,8648,8439,8958,8392,8151,102085
108,8446,6544,7610,7430,8893,8677,9388,8862,8840,8534,8151,8227,99602
109,13437,11506,12794,11694,13451,13442,14925,14764,13379,13671,13622,13180,159865
110,10841,8778,9981,9826,11322,11206,11512,11676,10943,10622,10249,10512,127468
111,4748,3903,5554,4594,5003,5029,4841,4791,4812,5224,4873,4741,58113
112,5743,4805,5509,5334,5998,6062,5633,5866,5531,6093,5968,5956,68498
113,10418,8535,9937,9469,11054,11142,12020,11641,10378,10634,10504,11026,126758
114,13738,11895,12621,12813,14778,14288,14740,13706,13808,13440,12325,12977,161129
115,10137,8479,9068,8976,10617,11179,11290,11410,10352,9973,10458,10023,121962
120,8628,7467,9035,8581,10032,9501,10007,9518,8746,9090,9091,8669,108365
121,7150,6267,7028,6962,7586,7440,8223,7975,7243,7597,7540,7932,88943
122,6865,5316,6426,5945,6383,6614,7322,6482,6234,6899,6524,6782,77792
123,4015,3128,3699,3441,3580,3438,3705,3653,3410,3907,3276,3557,42809
13,10816,10032,11665,10509,11061,11212,11618,11716,11545,11279,10223,10680,132356
14,15296,13351,14102,13548,15072,17369,17386,18554,17400,15285,15484,17420,190267
17,7151,6181,6791,6838,7635,7502,7088,6997,6881,7227,7323,7098,84712
18,15161,13283,13999,14183,15705,16026,16001,16324,15470,15331,15629,17298,184410
19,13113,11393,11444,11787,12910,13721,12855,12972,13172,13909,13866,13088,154230
20,5472,4559,4561,4860,5484,5391,5306,5197,5301,5603,5230,5177,62141
22,143,161,160,227,332,350,374,365,336,242,227,181,3098
23,8698,7518,8239,7712,9203,8562,8969,9097,8758,8997,8165,7974,101892
24,6525,5675,6179,5900,7146,6987,7001,6843,6797,7083,6165,6581,78882
25,7326,6432,6912,7355,8255,8219,8305,8853,8368,8247,7730,7696,93698
26,4534,3980,4310,4199,4834,4527,4493,4926,4520,4679,4218,4277,53497
28,5795,5204,5701,6072,6473,6592,6582,6449,6112,5882,5335,5436,71633
30,4524,4001,4414,4260,5210,4966,5429,5624,5649,4814,4396,4425,57712
32,7924,6797,7447,7982,9251,8595,8502,8594,8020,8804,7013,7739,96668
33,6923,6178,6274,6402,6990,7376,7906,7573,6750,7303,6901,6467,83043
34,8706,8007,8642,8438,9514,9982,10439,9969,9359,8980,8238,9026,109300
40,15266,13587,14050,15050,17018,17455,17128,17081,15644,15874,15416,16320,189889
41,7507,6664,6833,6841,8282,7903,9157,15260,7724,8177,7946,9577,101871
42,11379,10043,10625,10975,12578,12148,12710,12351,11549,11918,10744,11035,138055
43,14861,13025,13764,14273,15663,16123,16971,16634,14950,14982,13621,13859,178726
44,17343,15673,16686,16216,18987,19244,19604,19605,17413,17680,16727,16157,211335
45,8475,7175,8602,7795,9357,9691,9370,9642,8740,8604,8188,8488,104127
46,15347,13396,14130,14539,16576,16150,16988,16297,15866,15189,14068,14731,183277
47,14371,12773,14281,14473,16663,15441,16526,16529,16333,21291,17272,14413,190366
48,11410,10584,11030,11277,12924,11971,12224,13287,11026,11159,10403,10956,138251
49,15785,14285,15376,15120,16470,16092,15836,16335,15679,15890,15346,15281,187495
5,7205,6234,5950,6317,6542,6626,7005,7119,7105,7151,6727,6695,80676
50,6816,5800,6028,6145,7316,6615,7210,6738,6696,6708,6811,6897,79780
52,13092,12114,12858,13273,16298,15104,14977,15177,13879,13691,14027,13289,167779
6,5216,4295,4608,4824,5525,5458,5308,5376,5677,5467,5228,4749,61731
60,7783,6882,7434,7049,8199,8618,10162,9610,8537,8389,7522,8594,98779
61,9452,8584,9292,8594,10470,9657,10757,9421,9112,9309,9137,9622,113407
62,7575,6140,7024,7009,7690,7919,8146,7930,8189,7945,7446,7731,90744
63,6879,5596,6414,8519,7782,6978,8734,7711,7307,7371,6975,5962,86228
66,7688,6946,7826,7053,8338,8419,7668,7944,7387,7888,7529,7583,92269
67,12676,10569,11729,11494,13133,13740,13406,13424,13043,12156,11195,15107,151672
68,6256,5123,6197,5535,6512,6578,6939,7237,6699,6538,6451,6744,76809
69,5951,5155,5399,5048,6003,6033,6413,6138,5819,5884,5201,5365,68409
7,4598,3905,4604,4475,4622,4932,5109,4873,4806,5013,4876,4451,56264
70,10367,8691,10050,10112,10637,10980,10729,10495,10588,10403,9925,9963,122940
71,7352,6312,6882,6787,7873,7812,8003,7989,8094,7632,6630,7077,88443
72,7050,6175,6650,6488,7805,7745,7939,8087,7994,8170,7251,7246,88600
73,13222,11002,11074,11255,12787,12359,12545,11840,11692,11031,10594,11114,140515
75,20085,16778,19047,18832,19814,20951,21883,20765,19367,19162,17525,19017,233226
76,2975,2402,2867,2727,3046,3108,3019,2809,2767,2945,2768,2854,34287
77,6854,5958,6336,6268,7218,7584,7482,7139,6970,6852,6183,6519,81363
78,5152,3756,4396,4313,4708,4945,4820,4716,4458,5015,4415,4238,54932
79,8357,7055,7240,7785,8488,8881,9387,9572,9023,8786,7709,7543,99826
81,6895,5895,6578,6021,6899,7267,7154,6654,6743,6502,6402,6380,79390
83,7799,6924,7395,7439,8388,8680,9143,9096,7905,8324,7477,7949,96519
84,12906,10855,12187,11559,12562,12934,13626,13338,11894,13202,12189,11243,148495
88,4457,4091,4385,4415,4619,4723,4857,4965,4675,4803,4327,4641,54958
9,6773,6117,6433,6612,7122,6868,7202,8021,7150,7560,6534,6841,83233
90,7936,6977,7959,7413,8426,8443,8198,8672,8114,8501,7692,7343,95674
94,4199,3362,3800,3469,4229,4199,4509,4423,4324,4125,3840,3743,48222
