ADDR_PCT_CD,2010 FELONY,2010 MISDEMEANOR,2010 VIOLATION,2011 FELONY,2011 MISDEMEANOR,2011 VIOLATION,2012 FELONY,2012 MISDEMEANOR,2012 VIOLATION,2013 FELONY,2013 MISDEMEANOR,2013 VIOLATION,2014 FELONY,2014 MISDEMEANOR,2014 VIOLATION,2015 FELONY,2015 MISDEMEANOR,2015 VIOLATION,2016 FELONY,2016 MISDEMEANOR,2016 VIOLATION,2017 FELONY,2017 MISDEMEANOR,2017 VIOLATION,total2010,total2011,total2012,total2013,total2014,total2015,total2016,total2017
1,1771.0,3684.0,423.0,1774.0,3788.0,406.0,1790.0,4063.0,471.0,1683.0,3832.0,465.0,1587.0,3587.0,486.0,1774.0,3329.0,554.0,1703.0,3865.0,688.0,1623.0,3596.0,716.0,5878.0,5968.0,6324.0,5980.0,5660.0,5657.0,6256.0,5935.0
10,1411.0,2285.0,408.0,1369.0,2427.0,379.0,1396.0,2494.0,382.0,1451.0,2553.0,396.0,1320.0,2227.0,398.0,1348.0,2057.0,378.0,1291.0,2137.0,437.0,1204.0,1936.0,446.0,4104.0,4175.0,4272.0,4400.0,3945.0,3783.0,3865.0,3586.0
100,674.0,1441.0,413.0,870.0,1231.0,381.0,1025.0,1269.0,365.0,826.0,1208.0,327.0,944.0,1459.0,469.0,939.0,1268.0,444.0,1074.0,1272.0,542.0,962.0,1341.0,381.0,2528.0,2482.0,2659.0,2361.0,2872.0,2651.0,2888.0,2684.0
101,1059.0,2062.0,568.0,1113.0,2007.0,524.0,1382.0,2102.0,568.0,1397.0,2374.0,581.0,1513.0,2218.0,738.0,1644.0,2110.0,719.0,1668.0,2149.0,819.0,1570.0,1976.0,737.0,3689.0,3644.0,4052.0,4352.0,4469.0,4473.0,4636.0,4283.0
102,2129.0,3396.0,862.0,2037.0,3357.0,858.0,2141.0,3372.0,808.0,2269.0,3597.0,872.0,2011.0,3361.0,922.0,1950.0,3037.0,895.0,1859.0,2938.0,915.0,1338.0,2623.0,868.0,6387.0,6252.0,6321.0,6738.0,6294.0,5882.0,5712.0,4829.0
103,2658.0,4099.0,1010.0,2610.0,4192.0,970.0,2797.0,3923.0,954.0,3065.0,4510.0,1117.0,2890.0,4394.0,1255.0,2757.0,4593.0,1180.0,2602.0,3707.0,1058.0,2185.0,3403.0,1019.0,7767.0,7772.0,7674.0,8692.0,8539.0,8530.0,7367.0,6607.0
104,2305.0,4673.0,981.0,2224.0,5803.0,904.0,2236.0,5286.0,924.0,2191.0,4057.0,936.0,2089.0,3782.0,1062.0,1857.0,3204.0,859.0,1951.0,3083.0,990.0,1810.0,3170.0,982.0,7959.0,8931.0,8446.0,7184.0,6933.0,5920.0,6024.0,5962.0
105,2696.0,3382.0,908.0,2986.0,3190.0,905.0,2890.0,3175.0,1043.0,2744.0,3442.0,1047.0,2747.0,3362.0,1067.0,2964.0,3307.0,1219.0,2782.0,3275.0,1126.0,2554.0,2956.0,1212.0,6986.0,7081.0,7108.0,7233.0,7176.0,7490.0,7183.0,6722.0
106,1995.0,2833.0,829.0,2020.0,2903.0,727.0,2177.0,3201.0,808.0,2283.0,3039.0,799.0,2218.0,3028.0,922.0,2292.0,2755.0,810.0,2129.0,2839.0,856.0,1961.0,2786.0,916.0,5657.0,5650.0,6186.0,6121.0,6168.0,5857.0,5824.0,5663.0
107,1713.0,2992.0,759.0,1660.0,2588.0,733.0,1661.0,2510.0,633.0,1663.0,2649.0,711.0,1491.0,2532.0,616.0,1489.0,2377.0,681.0,1563.0,2352.0,625.0,1508.0,2454.0,679.0,5464.0,4981.0,4804.0,5023.0,4639.0,4547.0,4540.0,4641.0
