Code,Value
1.3.3,1.5
1.3.1,365
1.3.5,0.8
1.3.1,365
1.2.1,8
1.2.1,8
1.2.1,8
1.2.5.2,30
1.2.5.3,8
1.2.6.2,25
1.2.6.3,8
1.2.7.2,15
1.2.7.3,48
1.2.1,8
2.3,10
4.6,16.57
1.2.1,8
2.3,10
4.6,16.57
1.2.1,8
2.3,10
4.6,16.57
1.2.3,6.5
1.2.4,25
1.2.1,8
1.2.2.1,40
1.2.2.2,200
1.2.2.3,160
1.2.1,8
1.2.2.1,40
1.2.2.2,200
1.2.2.3,160
1.2.3,6.5
1.2.4,25
1.2.5.2,30
1.2.5.3,8
1.2.6.2,25
1.2.6.3,8
1.2.7.2,15
1.2.7.3,48
1.3.1,365
1.3.3,1.5
1.3.5,0.8
1.3.6,20
1.3.7,12
1.3.8,20
2.1,10
2.2.4,12.57
2.3,10
3.1.2,1.5
3.1.4,365
3.2.2,0.8
3.2.4,365
3.3.2,8
4.1,11.67
4.3.4,8.57
4.4,8.57
4.5.1,7.5
4.5.3,8
4.6,16.57
5.2.4.1,95
5.3.2.2,40
5.3.2.3,6.39
5.4.3,20
5.4.4,19.2
6.2.1,85
6.3.1,100
7.2.1.2,2
7.2.1.3,2.5
8.4,2
3.1.2,1.5
3.1.4,365
3.2.2,0.8
3.2.4,365
3.3.2,8
4.2.5,8
5.1.1,8
5.1.2.3,30
5.1.2.4,8
5.1.3.3,25
5.1.3.4,8
5.1.4.3,15
5.1.4.4,48
5.2.1.1,8
5.2.2.8,10
5.2.2.9,16.57
5.3.1.1,8
5.3.3.6,10
5.3.3.7,16.57
5.4.1,8
6.1.1,10
6.1.3,16.57
7.1.1,6.5
7.1.2,25
8.2.1,8
8.2.3,40
8.2.5,200
8.2.6,160
5.2.4.2,2
