precinct,total2012,total2013,total2014,total2015,total2016,total2017,total2018,total2019,injuries2012,injuries2013,injuries2014,injuries2015,injuries2016,injuries2017,injuries2018,injuries2019,deaths2012,deaths2013,deaths2014,deaths2015,deaths2016,deaths2017,deaths2018,deaths2019
1.0,1386,2785,2746,2788,3230,3332,3307,650,215,418,386,389,592,673,596,98,1,2,0,0,3,12,2,0
5.0,1264,2448,2276,2290,2147,2318,2196,437,213,424,347,347,341,396,326,86,1,0,4,1,0,2,4,0
6.0,727,1515,1445,1469,1397,1565,1433,283,127,251,210,208,233,298,242,51,0,0,0,0,0,1,1,0
7.0,531,987,1034,999,1180,1331,1254,253,121,271,244,219,297,327,321,57,1,0,1,1,2,3,1,0
9.0,873,1560,1480,1505,1479,1360,1205,259,166,390,371,296,358,290,289,64,0,1,1,0,1,2,1,0
10.0,1308,2613,2683,2744,2381,2644,2665,570,177,329,261,260,253,269,287,64,0,4,2,2,3,2,4,0
13.0,1419,3003,3024,2940,2778,2517,2410,569,318,708,656,578,649,614,536,118,2,6,2,0,2,3,2,0
14.0,1887,3804,3859,3768,3438,3536,3341,617,296,595,562,506,503,546,487,92,0,3,2,1,2,2,0,1
17.0,1586,3206,3119,3305,3003,2964,2985,612,256,487,445,485,478,633,630,138,0,2,0,4,3,2,0,1
18.0,2265,4390,4377,4393,4008,3749,3374,741,275,569,537,498,452,465,498,107,5,2,1,1,2,2,0,0
19.0,2294,4833,4890,4967,4106,4350,3986,888,336,739,710,655,577,697,702,134,2,6,6,5,5,3,5,1
20.0,927,1622,1669,1748,1555,1812,1719,367,154,261,221,244,293,353,277,66,2,1,1,1,3,1,2,0
22.0,269,507,479,541,410,417,377,79,61,82,70,92,104,81,65,12,0,1,0,0,1,1,1,0
23.0,650,1358,1373,1604,1366,1451,1464,313,184,281,320,312,288,277,303,86,2,3,5,0,1,2,2,0
24.0,557,1135,1039,1157,1112,1292,1218,237,84,218,204,211,228,291,235,45,2,1,6,1,3,3,0,0
25.0,884,1766,1702,1866,1839,2510,2211,393,271,498,491,446,452,583,559,95,1,4,3,2,2,0,0,0
26.0,405,883,847,892,865,1002,893,213,107,230,202,161,227,218,214,46,2,1,2,1,1,0,2,1
28.0,377,792,843,880,862,959,967,201,140,268,234,234,243,267,307,77,1,1,2,0,0,0,2,0
30.0,399,832,774,878,843,895,962,221,135,208,157,197,175,213,245,50,1,2,0,0,0,0,0,2
32.0,496,1045,1070,1239,1403,1360,1403,318,168,318,294,264,362,326,372,81,0,2,0,2,2,2,1,0
33.0,642,1238,1251,1391,1248,1457,1488,325,190,352,255,267,243,273,315,53,0,1,0,1,2,2,1,0
34.0,717,1475,1496,1670,1654,1877,1745,423,182,363,329,347,370,430,362,113,0,1,0,0,1,2,0,0
40.0,829,1757,1719,2040,2771,3538,3606,830,303,587,527,624,757,1021,1102,223,2,2,1,0,3,3,2,1
41.0,654,1393,1421,1482,1606,1867,1886,426,207,462,464,364,426,503,483,96,2,4,2,4,1,3,2,0
42.0,501,1060,1148,1259,1476,1774,1782,405,161,405,374,363,491,496,489,112,0,3,2,0,1,1,0,1
43.0,917,2051,1931,2177,3021,3606,3673,820,313,692,576,550,790,842,754,240,1,3,6,3,7,4,4,1
44.0,896,1742,1605,1838,2746,3396,3285,738,295,562,538,554,823,1095,1098,211,3,3,0,8,8,0,5,0
45.0,940,1860,1869,2037,2394,3209,2920,612,309,616,545,534,715,874,818,168,2,4,4,4,3,5,6,1
46.0,662,1520,1515,1540,2107,2643,2799,571,232,561,563,470,740,888,980,162,0,6,0,1,0,0,5,2
47.0,1493,2921,2995,3383,3486,3871,4071,905,400,887,889,932,1249,1382,1375,270,3,5,1,4,7,7,6,1
48.0,737,1493,1539,1582,1885,2278,2219,500,237,521,496,439,578,649,599,106,0,2,1,0,1,4,3,0
49.0,949,1937,1815,1901,2120,2502,2427,559,297,619,566,536,593,855,776,206,3,2,3,1,4,4,2,0
50.0,627,1269,1283,1398,1906,1956,2152,466,144,310,296,295,451,537,584,126,0,1,3,3,2,3,2,0
52.0,1038,2260,2258,2434,2562,3014,3004,720,308,716,580,586,820,921,966,198,3,1,2,1,3,3,1,0
60.0,758,1493,1604,1706,1772,2050,2184,519,193,393,419,353,451,451,547,137,0,2,1,2,1,2,1,0
61.0,1599,3089,3058,3165,2828,3389,3316,760,496,926,818,793,740,861,877,205,4,8,7,9,6,6,6,3
62.0,1282,2489,2499,2694,2550,2938,3074,685,381,682,685,676,680,751,809,173,2,5,6,5,4,4,4,2
63.0,1223,2292,2294,2321,2375,2770,2929,636,376,671,632,604,613,618,963,207,1,2,6,0,1,3,2,1
