,ADDR_PCT_CD,2017 VIOLATION,ARREST_PRECINCT,ARREST_KEY,total,share,officers
0,1,716.0,1,2792,3508.0,0.011204696518175692,224.0
1,10,446.0,10,1954,2400.0,0.007665698872184054,153.0
2,100,381.0,100,1552,1933.0,0.0061740816333049064,123.0
3,101,737.0,101,2701,3438.0,0.010981113634403657,220.0
4,102,868.0,102,3496,4364.0,0.013938795782588003,279.0
5,103,1019.0,103,4132,5151.0,0.016452506204425024,329.0
6,104,982.0,104,2624,3606.0,0.01151771255545654,230.0
7,105,1212.0,105,3195,4407.0,0.014076139554047969,282.0
8,106,916.0,106,2777,3693.0,0.011795594139573212,236.0
9,107,679.0,107,2309,2988.0,0.009543795095869147,191.0
10,108,829.0,108,1929,2758.0,0.008809165620618174,176.0
11,109,1400.0,109,3984,5384.0,0.017196717803266228,344.0
12,110,714.0,110,3656,4370.0,0.013957960029768464,279.0
13,111,406.0,111,1055,1461.0,0.0046664941884420425,93.0
14,112,382.0,112,1628,2010.0,0.006420022805454144,128.0
15,113,899.0,113,6251,7150.0,0.022837394556714994,457.0
16,114,1393.0,114,4281,5674.0,0.0181229897503218,362.0
17,115,1206.0,115,4370,5576.0,0.017809973713040952,356.0
18,120,1638.0,120,4587,6225.0,0.01988290644972739,398.0
19,121,1227.0,121,2609,3836.0,0.012252342030707512,245.0
20,122,1279.0,122,2004,3283.0,0.010486037248908436,210.0
21,123,431.0,123,1224,1655.0,0.0052861381806102534,106.0
22,13,661.0,13,3202,3863.0,0.012338581143019584,247.0
23,14,697.0,14,8097,8794.0,0.02808839828416107,562.0
24,17,478.0,17,1491,1969.0,0.0062890671163876675,126.0
25,18,942.0,18,3883,4825.0,0.015411248774286691,308.0
26,19,661.0,19,2352,3013.0,0.00962364612578773,192.0
27,20,518.0,20,1622,2140.0,0.006835248161030781,137.0
28,22,40.0,22,137,177.0,0.000565345291823574,11.0
29,23,885.0,23,3348,4233.0,0.013520376385814624,270.0
30,24,704.0,24,1803,2507.0,0.008007461280235592,160.0
31,25,712.0,25,5356,6068.0,0.019381441981838683,388.0
32,26,377.0,26,1778,2155.0,0.006883158778981931,138.0
33,28,705.0,28,2320,3025.0,0.009661974620148651,193.0
34,30,577.0,30,1631,2208.0,0.007052442962409329,141.0
35,32,904.0,32,3130,4034.0,0.012884762187662697,258.0
36,33,492.0,33,2651,3143.0,0.010038871481364366,201.0
37,34,648.0,34,3096,3744.0,0.011958490240607123,239.0
38,40,1697.0,40,6730,8427.0,0.02691618516495626,538.0
39,41,843.0,41,3748,4591.0,0.014663843134248745,293.0
40,42,1156.0,42,4278,5434.0,0.017356419863103396,347.0
41,43,1684.0,43,4842,6526.0,0.020844312849947137,417.0
42,44,1757.0,44,7123,8880.0,0.028363085827080997,567.0
43,45,1201.0,45,2617,3818.0,0.012194849289166131,244.0
44,46,1436.0,46,5743,7179.0,0.02293002175142055,459.0
45,47,1506.0,47,5182,6688.0,0.02136174752381956,427.0
46,48,1195.0,48,4604,5799.0,0.01852224489991472,370.0
47,49,952.0,49,3344,4296.0,0.013721600981209456,274.0
48,5,444.0,5,4570,5014.0,0.016014922560471184,320.0
49,50,607.0,50,1320,1927.0,0.006154917386124446,123.0
50,52,1155.0,52,5915,7070.0,0.022581871260975522,452.0
51,6,389.0,6,2722,3111.0,0.00993666216306858,199.0
52,60,785.0,60,3880,4665.0,0.014900202182807755,298.0
53,61,631.0,61,2231,2862.0,0.009141345905079484,183.0
54,62,713.0,62,1653,2366.0,0.007557101471494779,151.0
55,63,698.0,63,2051,2749.0,0.008780419249847484,176.0
56,66,563.0,66,1293,1856.0,0.005928140461155668,119.0
57,67,1635.0,67,4736,6371.0,0.020349236464451918,407.0
58,68,630.0,68,2502,3132.0,0.010003737028200189,200.0
59,69,737.0,69,2176,2913.0,0.009304242006113395,186.0
60,7,481.0,7,2311,2792.0,0.00891776302130745,178.0
61,70,941.0,70,3874,4815.0,0.015379308362319257,308.0
62,71,954.0,71,3072,4026.0,0.01285920985808875,257.0
63,72,626.0,72,3286,3912.0,0.012495089161660007,250.0
64,73,1371.0,73,5482,6853.0,0.021888764321282214,438.0
65,75,2153.0,75,6694,8847.0,0.028257682467588467,565.0
66,76,240.0,76,2080,2320.0,0.007410175576444585,148.0
67,77,849.0,77,3650,4499.0,0.014369991344148356,287.0
68,78,528.0,78,1783,2311.0,0.007381429205673895,148.0
69,79,1016.0,79,3828,4844.0,0.015471935557024814,309.0
70,81,812.0,81,2157,2969.0,0.009483108313131023,190.0
71,83,924.0,83,3053,3977.0,0.012702701839448325,254.0
72,84,740.0,84,3607,4347.0,0.013884497082243367,278.0
73,88,516.0,88,1415,1931.0,0.00616769355091142,123.0
74,9,531.0,9,2310,2841.0,0.009074271039947873,181.0
75,90,996.0,90,2539,3535.0,0.011290935630487761,226.0
76,94,457.0,94,1365,1822.0,0.005819543060466394,116.0
