,Precinct,total_calls_for_service,total_violent,total,share,officers
0,1,163950,165,164115,0.01983191421021938,397.0
1,5,80676,215,80891,0.00977499541406243,195.0
2,6,61731,295,62026,0.007495319201797929,150.0
3,7,56264,286,56550,0.006833590766157303,137.0
4,9,83233,274,83507,0.010091116960380158,202.0
5,10,77106,198,77304,0.009341536703572488,187.0
6,13,132356,346,132702,0.016035917981443087,321.0
7,14,190267,368,190635,0.02303663263848625,461.0
8,17,84712,167,84879,0.010256911593999394,205.0
9,18,184410,344,184754,0.022325963367119832,447.0
10,19,154230,300,154530,0.018673647764708895,373.0
11,20,62141,157,62298,0.007528188108754512,151.0
12,22,3098,20,3118,0.0003767840143037749,8.0
13,23,101892,474,102366,0.012370068123226498,247.0
14,24,78882,279,79161,0.009565939498492985,191.0
15,25,93698,594,94292,0.011394393289522626,228.0
16,26,53497,219,53716,0.006491125757646431,130.0
17,28,71633,378,72011,0.00870192227518574,174.0
18,30,57712,374,58086,0.007019203417206244,140.0
19,32,96668,532,97200,0.011745800574190803,235.0
20,33,83043,333,83376,0.010075286714750333,202.0
21,34,109300,543,109843,0.01327360053982346,265.0
22,40,189889,1227,191116,0.02309475743350874,462.0
23,41,101871,452,102323,0.012364871935729686,247.0
24,42,138055,792,138847,0.016778489427208543,336.0
25,43,178726,947,179673,0.021711967351508068,434.0
26,44,211335,1050,212385,0.025664936779315983,513.0
27,45,104127,379,104506,0.012628669082370206,253.0
28,46,183277,938,184215,0.02226082976105513,445.0
29,47,190366,1112,191478,0.023138502081737723,463.0
30,48,138251,712,138963,0.016792507049292967,336.0
31,49,187495,515,188010,0.022719423518041282,454.0
32,50,79780,279,80059,0.009674455228077587,193.0
33,52,167779,924,168703,0.020386335331972334,408.0
34,60,98779,390,99169,0.011983737624916951,240.0
35,61,113407,338,113745,0.0137451243447668,275.0
36,62,90744,290,91034,0.011000691455461785,220.0
37,63,86228,238,86466,0.010448687165102695,209.0
38,66,92269,262,92531,0.011181591285292686,224.0
39,67,151672,896,152568,0.0184365566049706,369.0
40,68,76809,206,77015,0.009306613489931118,186.0
41,69,68409,326,68735,0.00830604529287042,166.0
42,70,122940,468,123408,0.01491281643271336,298.0
43,71,88443,549,88992,0.010753932970148023,215.0
44,72,88600,428,89028,0.010758283266656983,215.0
45,73,140515,1020,141535,0.01710331156654419,342.0
46,75,233226,1620,234846,0.028379159276197666,568.0
47,76,34287,157,34444,0.004162267026516749,83.0
48,77,81363,511,81874,0.009893782677070966,198.0
49,78,54932,186,55118,0.006660545638356468,133.0
50,79,99826,688,100514,0.01214626953615447,243.0
51,81,79390,533,79923,0.009658020774599296,193.0
52,83,96519,594,97113,0.011735287357627484,235.0
53,84,148495,344,148839,0.017985938391584206,360.0
54,88,54958,294,55252,0.0066767384086953725,134.0
55,90,95674,455,96129,0.011616379253049256,232.0
56,94,48222,185,48407,0.00584957786414459,117.0
57,100,33896,166,34062,0.0041161055468939,82.0
58,101,61511,484,61995,0.0074915731131374366,150.0
59,102,109826,311,110137,0.013309127961313297,266.0
60,103,135342,790,136132,0.016450404565491177,329.0
61,104,105230,327,105557,0.012755673572117886,255.0
62,105,156930,635,157565,0.019040401928728124,381.0
63,106,97024,451,97475,0.011779032005856466,236.0
64,107,102085,297,102382,0.012372001588341591,247.0
65,108,99602,212,99814,0.012061680437369144,241.0
66,109,159865,457,160322,0.01937356213637261,387.0
67,110,127468,636,128104,0.015480288443993195,310.0
68,111,58113,116,58229,0.00703648376167239,141.0
69,112,68498,112,68610,0.008290940096658754,166.0
70,113,126758,572,127330,0.015386757069050565,308.0
71,114,161129,601,161730,0.01954370706650081,391.0
72,115,121962,660,122622,0.01481783495893441,296.0
73,120,108365,465,108830,0.013151188029724125,263.0
74,121,88943,314,89257,0.010785955986116754,216.0
75,122,77792,164,77956,0.009420325407012533,188.0
76,123,42809,57,42866,0.005179994726473899,104.0
