,precinct,injuries2018,deaths2018,total,share,officers
0,1.0,596,2,598,0.010431748800697777,209.0
1,5.0,326,4,330,0.005756650675970344,115.0
2,6.0,242,1,243,0.004238988225032709,85.0
3,7.0,321,1,322,0.005617095508068033,112.0
4,9.0,289,1,290,0.005058874836458787,101.0
5,10.0,287,4,291,0.005076319232446577,102.0
6,13.0,536,2,538,0.00938508504143044,188.0
7,14.0,487,0,487,0.008495420846053205,170.0
8,17.0,630,0,630,0.010989969472307022,220.0
9,18.0,498,0,498,0.008687309201918883,174.0
10,19.0,702,5,707,0.012333187963366769,247.0
11,20.0,277,2,279,0.00486698648059311,97.0
12,22.0,65,1,66,0.001151330135194069,23.0
13,23.0,303,2,305,0.005320540776275621,106.0
14,24.0,235,0,235,0.004099433057130397,82.0
15,25.0,559,0,559,0.009751417357174007,195.0
16,26.0,214,2,216,0.0037679895333624074,75.0
17,28.0,307,2,309,0.005390318360226777,108.0
18,30.0,245,0,245,0.004273877017008286,85.0
19,32.0,372,1,373,0.006506759703445268,130.0
20,33.0,315,1,316,0.0055124291321413,110.0
21,34.0,362,0,362,0.00631487134757959,126.0
22,40.0,1102,2,1104,0.01925861317051897,385.0
23,41.0,483,2,485,0.008460532054077628,169.0
24,42.0,489,0,489,0.008530309638028782,171.0
25,43.0,754,4,758,0.013222852158744004,264.0
26,44.0,1098,5,1103,0.01924116877453118,385.0
27,45.0,818,6,824,0.014374182293938073,287.0
28,46.0,980,5,985,0.01718273004797209,344.0
29,47.0,1375,6,1381,0.024090710859136503,482.0
30,48.0,599,3,602,0.010501526384648931,210.0
31,49.0,776,2,778,0.013571740078499782,271.0
32,50.0,584,2,586,0.010222416048844309,204.0
33,52.0,966,1,967,0.01686873092019189,337.0
34,60.0,547,1,548,0.009559529001308329,191.0
35,61.0,877,6,883,0.01540340165721762,308.0
36,62.0,809,4,813,0.014182293938072394,284.0
37,63.0,963,2,965,0.01683384212821631,337.0
38,66.0,883,1,884,0.015420846053205407,308.0
39,67.0,1539,4,1543,0.026916703009158306,538.0
40,68.0,734,3,737,0.012856519843000435,257.0
41,69.0,910,3,913,0.015926733536851288,319.0
42,70.0,993,1,994,0.017339729611862188,347.0
43,71.0,830,3,833,0.014531181857828172,291.0
44,72.0,941,3,944,0.016467509812472744,329.0
45,73.0,944,5,949,0.016554731792411688,331.0
46,75.0,2080,8,2088,0.03642389882250327,728.0
47,76.0,333,1,334,0.0058264282599215,117.0
48,77.0,691,0,691,0.012054077627562146,241.0
49,78.0,559,2,561,0.009786306149149585,196.0
50,79.0,745,1,746,0.013013519406890536,260.0
51,81.0,523,1,524,0.009140863497601395,183.0
52,83.0,652,3,655,0.011426079372001744,229.0
53,84.0,537,0,537,0.00936764064544265,187.0
54,88.0,392,1,393,0.006855647623201047,137.0
55,90.0,955,7,962,0.016781508940252942,336.0
56,94.0,503,0,503,0.008774531181857828,175.0
57,100.0,208,2,210,0.003663323157435674,73.0
58,101.0,287,0,287,0.005006541648495421,100.0
59,102.0,919,5,924,0.016118621892716966,322.0
60,103.0,1106,4,1110,0.019363279546445705,387.0
61,104.0,1018,4,1022,0.01782817269952028,357.0
62,105.0,2286,9,2295,0.04003488879197558,801.0
63,106.0,1344,3,1347,0.023497601395551678,470.0
64,107.0,1184,9,1193,0.020811164413432184,416.0
65,108.0,1245,7,1252,0.02184038377671173,437.0
66,109.0,1507,11,1518,0.026480593109463584,530.0
67,110.0,969,2,971,0.016938508504143045,339.0
68,111.0,775,3,778,0.013571740078499782,271.0
69,112.0,791,4,795,0.013868294810292194,277.0
70,113.0,1545,4,1549,0.02702136938508504,540.0
71,114.0,1184,1,1185,0.020671609245529875,413.0
72,115.0,869,7,876,0.015281290885303096,306.0
73,120.0,663,4,667,0.011635412123855212,233.0
74,121.0,898,2,900,0.01569995638901003,314.0
75,122.0,721,4,725,0.01264718709114697,253.0
76,123.0,460,0,460,0.008024422154382904,160.0
