,precinct,qol,vio,adjusted_day_precinct,percapita_day,2018_no_rate,2014_no_rate,2011_no_rate,no_arrest_quantile_2011,no_arrest_quantile_2014,no_arrest_quantile_2018
0,1.0,625,2020,338683.34196700965,18.453815778777802,0.7373737373737373,0.875,0.9407060121345836,5,5,5
1,5.0,434,5419,117698.3572344052,36.87392162455217,0.7471264367816092,0.7818181818181819,0.8806927517639512,0,2,5
2,6.0,321,3684,101853.96376681447,31.515710152910763,0.4077669902912621,0.8878504672897196,0.9248476641841572,3,6,0
3,71.0,317,6692,108992.92698634777,29.08445609867022,0.8770949720670391,0.9065934065934066,0.9123711340206184,1,6,9
4,72.0,330,4780,169577.73734750514,19.460101612498313,0.7875647668393783,0.9333333333333332,0.9681811666905548,9,8,7
5,7.0,624,3154,66318.59896879444,94.09125188148455,0.7318840579710145,0.7357357357357357,0.8817333014124971,0,1,4
6,9.0,479,3400,103590.36221584947,46.23982287096514,0.6779661016949152,0.5101010101010099,0.8332401714179244,0,0,3
7,10.0,250,2585,151160.03519395008,16.538763018891242,0.6144578313253012,0.6938775510204082,0.8999676270637746,1,1,1
8,13.0,375,3902,200630.427210508,18.691083162901194,0.5911602209944752,0.6130346232179226,0.896991622239147,1,0,1
9,14.0,821,5852,284775.28507670626,28.8297490345364,0.6923076923076923,0.8222621184919209,0.9343647444913268,4,3,3
10,17.0,103,1427,194024.3780376184,5.3086112704883845,0.5161290322580645,0.8300653594771242,0.9485436893203884,6,3,0
11,20.0,127,1873,143119.57330951665,8.873698898287255,0.4647887323943662,0.8153310104529616,0.9203742600725606,2,3,0
12,18.0,236,3357,332643.6926739005,7.09467833593818,0.7916666666666666,0.950354609929078,0.9108175061932288,1,9,7
13,19.0,209,2622,297549.7016166504,7.024036618570237,0.5990783410138248,0.6528497409326425,0.8777142857142857,0,1,1
14,23.0,440,5263,92246.11064358453,47.698487982875285,0.7665706051873199,0.6926286509040334,0.9456509315350324,6,1,6
15,24.0,380,3077,126787.24229862473,29.971469771775446,0.5597826086956522,0.7418032786885246,0.8851159007726718,0,1,1
16,25.0,391,7682,76096.00434832343,51.38246131954951,0.8026905829596412,0.6023622047244095,0.9158774934515416,2,0,8
17,79.0,470,6584,90555.1739862732,51.90205918783226,0.7956521739130434,0.8595041322314051,0.961986892031735,8,5,8
18,26.0,165,2598,112173.98724305507,14.709292595838924,0.5154639175257731,0.6526315789473685,0.9002203967140854,1,0,0
19,28.0,263,4051,63196.063804679026,41.61651599265072,0.7685185185185185,0.8376383763837638,0.9415197985809108,5,3,6
20,30.0,295,4291,69460.83803636122,42.469974209866855,0.8058252427184466,0.8119122257053292,0.9064900662251656,1,3,8
21,32.0,528,6233,94337.49191089618,55.969264107499015,0.65,0.6923076923076923,0.9072245120149312,1,1,2
22,73.0,512,9631,93289.3302316354,54.88301810386194,0.7597173144876325,0.859122401847575,0.9544244447093416,7,4,6
23,33.0,389,4212,110855.94360264784,35.09058579613305,0.78125,0.8933333333333333,0.9453202670075274,5,6,7
24,34.0,437,4588,142463.60084010454,30.674501937549042,0.7659574468085106,0.7659033078880407,0.9624177346726706,8,2,6
25,75.0,652,15476,195817.18711617796,33.29636226533934,0.8032407407407407,0.8004362050163577,0.9644694533762058,8,2,8
26,40.0,269,11064,111451.59767287163,24.13603803056806,0.6655948553054662,0.2561247216035635,0.9366308648954212,5,0,2
27,41.0,195,12684,67491.99275949912,28.892316262591734,0.6805555555555556,0.9221674876847292,0.9556006708447348,7,7,3
28,42.0,254,7243,88142.77262133367,28.816883386593513,0.7598425196850394,0.6489971346704871,0.9366843885935234,5,0,6
29,43.0,471,10700,187088.68467727932,25.175226434054878,0.7222222222222222,0.639344262295082,0.9305595740987213,3,0,4
30,48.0,243,8938,90038.40791204383,26.98848254151499,0.7729468599033816,0.8,0.9329534662867996,4,2,7
31,44.0,528,12412,162027.8461506837,32.58699122056879,0.6742081447963801,0.8563909774436089,0.9252203750813464,3,4,2
32,45.0,163,4470,139012.22362909256,11.725587559473242,0.8640776699029126,0.8624161073825504,0.9354718388660948,4,5,9
33,46.0,405,9289,138565.95565204017,29.22795849054118,0.7026022304832714,0.8706896551724138,0.9771832628663072,9,5,4
34,47.0,177,8903,161763.46558086108,10.94190207686436,0.7884615384615384,0.5359116022099447,0.9159656181419166,2,0,7
35,49.0,223,5449,139126.04578045482,16.02863063842847,0.7323943661971831,0.8757894736842106,0.9555032371983521,7,5,5
36,50.0,176,2942,110853.63266663652,15.876791383939057,0.8222222222222222,0.9534883720930232,0.8866939992545658,0,9,9
37,67.0,327,8769,173573.7994877909,18.839248836227785,0.7785467128027682,0.9254807692307692,0.9679217902696096,9,7,7
38,52.0,285,9723,147918.00756384004,19.267430970295933,0.7729468599033816,0.9272388059701492,0.9518610785463072,7,8,7
39,60.0,305,6204,105883.76216889033,28.805172176778957,0.6436781609195402,0.8986975397973951,0.932676848874598,4,6,1
40,61.0,305,3941,161969.49182606867,18.830706731334626,0.6788321167883211,0.9234693877551021,0.9599697885196374,8,7,3
41,62.0,258,3541,186253.44009809915,13.852093140621303,0.6494845360824743,0.9271844660194176,0.9557582668187,7,8,2
42,63.0,174,3426,141362.3075531496,12.308797374051016,0.7668711656441718,0.9224137931034484,0.9483097055616141,6,7,6
43,66.0,184,3087,198510.26216880023,9.269042214227612,0.9454545454545454,0.8948497854077253,0.9148157825973348,2,6,9
44,68.0,268,2298,140305.7887067125,19.10113634443212,0.7,0.8532110091743119,0.8889273356401384,0,4,3
45,69.0,141,3803,94305.71348664908,14.951374077665132,0.7197452229299363,0.9255702280912363,0.9674677129311754,9,7,4
46,70.0,362,6423,161672.52493825142,22.390941202796263,0.7391304347826086,0.94314381270903,0.9793563068920677,9,9,5
47,76.0,226,1812,56467.67529483664,40.02289784730438,0.7127659574468085,0.9205607476635514,0.9467696930671818,6,7,4
48,77.0,304,8562,92012.14905560737,33.03911528207848,0.7692307692307693,0.8498659517426274,0.9568610258658484,8,3,6
49,78.0,135,2057,76612.51905040262,17.621140992790593,0.5596330275229358,0.9461077844311376,0.9530239099859352,7,9,0
50,81.0,351,5550,73844.3994944463,47.53237921941501,0.7398373983739838,0.7819548872180451,0.9663028349571461,9,2,5
51,83.0,667,7139,128118.84938885935,52.0610357634073,0.6986301369863014,0.8249097472924187,0.9485387124692096,6,3,3
52,84.0,373,6334,77583.40329673058,48.07729284231057,0.6616541353383458,0.928638497652582,0.9428461833525124,5,8,2
53,88.0,193,3294,66483.84102490527,29.029610357154453,0.6055045871559633,0.8728323699421965,0.9262994569433668,3,5,1
54,90.0,552,4612,130485.54803705247,42.303535395602196,0.8092105263157895,0.8462809917355372,0.9685756575202096,9,3,8
55,94.0,318,1828,72190.16925480803,44.05031921695078,0.7971014492753623,0.8507462686567164,0.9322787938704894,4,4,8
56,100.0,165,2451,62075.04179043338,26.580731199028975,0.660377358490566,0.855,0.9295774647887324,3,4,2
57,101.0,304,3812,71830.67290125696,42.32175305080295,0.7301587301587301,0.94885598923284,0.9540428472702144,7,9,4
58,102.0,703,6190,159926.99393395294,43.95755730207289,0.7532467532467533,0.8569009314140559,0.922201138519924,2,4,5
59,103.0,519,7746,126882.93545700786,40.90384559047772,0.9004524886877828,0.8923076923076924,0.9301539179104478,3,6,9
60,104.0,1207,4333,191933.749579312,62.88628251391694,0.921875,0.7545271629778671,0.9186790805935408,2,1,9
61,105.0,471,6268,216584.63087501,21.74669541865193,0.8106060606060606,0.8922716627634659,0.8967419058318864,0,6,8
62,106.0,267,4462,139393.11592300428,19.15446098123534,0.7,0.93491921005386,0.969339349762814,9,8,3
63,107.0,325,4146,167782.0148208005,19.37037174974422,0.6893203883495146,0.8982430453879942,0.9346229625649292,4,6,3
64,108.0,592,3153,147479.47136129419,40.14117995783444,0.6883116883116883,0.927710843373494,0.9283276450511946,3,8,3
65,109.0,439,6212,279658.7342745346,15.697703886803824,0.7628865979381443,0.8771526980482205,0.9340796019900498,4,5,6
66,110.0,668,6067,173033.64128729998,38.60520965925189,0.4820143884892086,0.7824267782426778,0.937285780453914,5,2,0
67,111.0,286,1771,129574.05500404768,22.072319955647437,0.7326732673267327,0.9293893129770991,0.9455128205128204,6,8,5
68,112.0,236,4693,122714.53189671971,19.23162614502941,0.5394736842105263,0.9353846153846154,0.9163486938655708,2,9,0
69,113.0,464,6896,144211.00165989867,32.17507642685116,0.8333333333333334,0.9156804733727808,0.9518569463548828,6,7,9
70,115.0,532,7920,191480.77656879066,27.783467851608368,0.6746987951807228,0.8585365853658536,0.963042520378938,8,4,2
71,120.0,365,8581,122490.10495156508,29.798325354062513,0.639344262295082,0.9498448810754913,0.9230442692540934,3,9,1
72,122.0,202,2685,147312.2389665228,13.71237050072297,0.4848484848484849,0.9697297297297296,0.9640272679601468,8,9,0
73,123.0,155,1036,102078.48793620737,15.184394198400083,0.8888888888888888,0.7819314641744548,0.9481993093241244,6,2,9
