field_name,Code,Values,Formula
Name of the APA,1.1,,
Shift length (hours),1.2.1,8,
Average work week (hours),1.2.2.1,40,
Average number of benefit (paid) off-duty hours per year per officer ,1.2.2.2,200,vacation_days (25) * shift_length
AverGge number of on-duty hours spent on non-patrol temporary assignments per year per officer ,1.2.2.3,160,20 days * shift length
Average number of officers to be supervised by each field supervisor,1.2.3,6.5,
"Percentage of field supervisor on-duty time spent on uncommitted patrol, reactive, and self-initiated/COP activities",1.2.4,25,
"Type name, category 1 roadways in the APA",1.2.5.1,,
"Average patrol speed (MPH), category 1 roadways in the APA .",1.2.5.2,30,
"Patrol interval performance objective (hours), category 1 roadways in the APA.",1.2.5.3,8,
"Type name, category 2 roadways in the APA",1.2.6.1,,
"Average patrol speed (MPH), category 2 roadways",1.2.6.2,25,
"Patrol interval performance objective (hours), category 2 roadways",1.2.6.3,8,
"Type name, category 3 roadways in the APA",1.2.7.1,,
"Average patrol speed (MPH), category 3 roadways",1.2.7.2,15,
"Patrol interval performance objective (hours), category 3",1.2.7.3,48,
Total number of days in the workload sample period,1.3.1,365,
Total number of accidents handled by the APA during the sample period,1.3.2,,
Average service time (hours) per accident.,1.3.3,1.5,
Total number of other CFS handled by the APA during the sample period,1.3.4,,
Average service time (hours) per CFS,1.3.5,0.8,
Percentage of other CFS that cannot be preempted,1.3.6,20,
Percentage of administrative activities that cannot be preempted,1.3.7,12,
Percentage of self-initiated/COP activities that cannot be preempted,1.3.8,20,
"Number of miles, category 1 roadways (Arterial)",1.4.1,,
"Number of miles, category 2 roadways (Major)",1.4.2,,
"Number of miles, ca'tegory 3 roadways (Residential)",1.4.3 ,,
administrative time performance objective in minutes per hour per office,2.1,10,
total time (hours) spent on administrative activities during the sample period,2.2.1,,
total on-duty hours on patrol during the sample period,2.2.2,,
fraction of time spent on administrative activities (2.2.1 / 2.2.2),2.2.3,,2.2.1 / 2.2.2
"average number of minutes per hour per officer, multiply 2.2.3 * 60",2.2.4,12.57,2.2.3 * 60
administrative time minutes per hour per office either 2.1 or 2.24,2.3,10,either 2.1 or 2.24
Total number of accidents handled by the agency during the sample period,3.1.1,,use 1.3.2
Average service time (hours) per accident.,3.1.2,1.5,use 1.3.3
total obligated time for accidents within the APA during the sample period,3.1.3,,3.1.1 * 3.1.2
total number of days in the sample period,3.1.4,365,use 1.3.1
average workload per day for accidents,3.1.5,,3.1.3 / 3.1.4
total number of other cfs within the apa during the sample period use 1.3.4,3.2.1,,use 1.3.4
average service time (hours for each cfd,3.2.2,0.8,use 1.3.5
total obligated time for other CFS within the APA during the sample period (3.2.1 * 3.2.2),3.2.3,,3.2.1 * 3.2.2
total number of days in the sample period,3.2.4,365,use 1.3.1
average workload per day for other CFS (hours) divide 3.2.3 / 3.2.4,3.2.5,,3.2.3 / 3.2.4
total average workload per day within the APA (hours) add 3.1.5 + 3.2.5,3.3.1,,3.1.5 + 3.2.5
Shift length (hours),3.3.2,8,use 1.2.1
average number of on-duty officers required per day within the APA to meet the avg daily workload divide 3.3.1 / 3.3.2,3.3.3,,3.3.1 / 3.3.2
self initiated perfomance objective time in minutes per hour per officr,4.1,11.67,
total number of self-initiatied cnontacts during sample period,4.2.1,,
totl time (hours) spent on self-initiated contacts during the sample period,4.2.2,,
averaget time (hours) per self-initiated contact within the APA during the sample period,4.2.3,,4.2.2 / 4.2.1
number of self-initiated contacts per shift per officer performance objective,4.2.4,,
shift length (hours),4.2.5,,use 1.2.1
number of self-initiated contacts per hour per officer divide 4.2.4 / 4.2.5,4.2.6,,4.2.4 / 4.2.5
"self-initiated performance objective for the APA in minutes per hour per officer, multiply 60 * 4.2.3 * 4.2.6",4.2.7,,60 * 4.2.3 * 4.2.6
total time (hours) spent on self-initiated contacts during the sample period,4.3.1,,use 4.2.2
total on-duty hours on patrol during the sample period,4.3.2,,
Fraction of time spent on self-initiated activities within the APA during the sample period divide 4.2.1 / 4.3.2,4.3.3,,4.2.1 / 4.3.2
Average number of minutes per hour per officer to be spent on self-initiated activities within the APA multiple 60 * 4.3.3,4.3.4,8.57,60 * 4.3.3
