precinct,above_captain,captain,detective,lieutenant,police_officer,sergeant,grand_total
1,,1,2,7,162,23,195
5,1,1,1,6,130,18,157
6,1,2,2,7,149,22,183
7,,2,1,7,122,19,151
9,1,1,1,6,117,19,145
10,,2,4,6,125,20,157
13,1,1,2,6,152,21,183
14,1,1,3,8,258,30,301
17,,2,1,7,115,19,144
18,1,1,7,8,239,28,284
19,1,1,2,7,176,22,209
20,,1,3,7,121,18,150
23,1,1,7,7,134,21,171
24,,2,4,7,105,17,135
25,,2,1,7,125,19,154
26,1,1,1,7,102,17,129
28,1,1,4,6,149,22,183
30,,2,2,8,123,18,153
32,1,2,3,6,159,24,195
33,1,1,1,6,129,21,159
34,1,,5,6,150,21,183
40,1,,1,6,189,25,222
41,1,,3,8,144,22,178
42,,1,2,7,153,21,184
43,1,,2,6,202,27,238
44,1,,3,9,234,30,277
45,,2,1,6,144,19,172
46,1,,2,7,219,28,257
47,1,1,1,8,186,25,222
48,1,1,2,7,171,23,205
49,,1,2,6,158,25,192
50,1,,,7,130,19,157
52,1,,1,6,190,26,224
60,1,2,1,7,186,27,224
61,,1,1,7,135,18,162
62,,2,2,6,113,18,141
63,1,,,6,121,18,146
66,1,1,1,7,116,17,143
67,1,1,5,7,192,27,233
68,,1,3,6,108,18,136
69,,2,1,6,120,18,147
70,1,1,3,7,155,21,188
71,1,,2,6,139,22,170
72,1,1,2,6,119,20,149
73,1,,1,6,186,24,218
75,1,,1,9,253,32,296
76,,1,1,7,98,16,123
77,1,1,1,7,158,24,192
78,1,1,1,7,152,22,184
79,1,1,4,7,165,23,201
81,1,1,3,6,137,20,168
83,1,1,2,7,172,24,207
84,,2,4,8,177,22,213
88,,2,,5,112,17,136
90,1,1,3,7,140,20,172
94,,2,,7,107,18,134
100,,2,2,7,110,18,139
101,1,1,2,7,162,23,196
102,1,1,,6,157,22,187
103,1,1,2,8,178,25,215
104,,2,2,7,143,20,174
105,1,,2,8,227,28,266
106,1,1,5,6,144,20,177
107,,2,3,7,137,19,168
108,,2,3,7,120,19,151
109,1,1,1,7,178,22,210
110,1,1,2,5,145,21,175
111,1,1,2,6,111,17,138
112,,2,2,6,102,17,129
113,1,2,4,7,158,23,195
114,1,1,6,7,162,25,202
115,1,1,4,7,147,21,181
120,1,1,1,8,227,30,268
121,1,1,1,7,158,20,188
122,,1,3,6,152,21,183
123,,1,,7,117,18,143
