,precinct,assess_land_mean,assess_total_mean,comm_area_mean,land_use_mean,res_area_mean,retail_area_mean,retail_area_mean,units_res_mean,units_total_mean,yearbuilt
0,1,2268154,11905697,64478,4,27269,4923,4923,23,29,1924
1,5,572794,3376511,17017,3,10479,2976,2976,13,17,1916
2,6,532305,2732794,7005,2,12171,1625,1625,14,16,1912
3,7,626358,2997527,7783,3,26752,1935,1935,29,34,1923
4,9,390125,2246780,5458,3,13733,1674,1674,17,19,1916
5,10,1112046,6967712,30281,3,23431,3796,3796,27,31,1923
6,13,1477310,7405505,27530,3,25980,3909,3909,27,33,1922
7,14,4007090,19646514,96617,4,10332,9921,9921,13,33,1929
8,17,2171955,10067198,31322,3,33209,2548,2548,35,39,1927
9,18,4389529,20642801,66989,3,23368,7593,7593,24,31,1931
10,19,1174513,4972677,8453,2,27865,1639,1639,25,26,1921
11,20,1401427,5597500,8068,2,32609,1355,1355,30,31,1914
12,22,7155000,25049250,0,3,187270,0,0,24,24,1931
13,23,375391,2733211,11249,3,26298,1092,1092,29,30,1926
14,24,597674,2956466,4305,2,29692,1009,1009,28,29,1916
15,25,172022,1094091,6476,3,11642,1291,1291,14,15,1928
16,26,592271,5008092,46353,3,30082,1210,1210,31,33,1921
17,28,132909,893337,3693,2,10771,1139,1139,11,12,1919
18,30,97373,684659,1960,2,14021,557,557,15,15,1916
19,32,143050,975067,4155,2,16004,585,585,18,19,1920
20,33,180655,2090083,12934,2,23662,1115,1115,25,26,1918
21,34,330250,1852496,7508,3,28787,1558,1558,32,33,1928
22,40,64825,633485,7038,2,10107,792,792,10,11,1949
23,41,82340,508697,6429,3,6635,518,518,7,7,1947
24,42,62793,454039,3762,2,9707,555,555,10,10,1953
25,43,32331,204871,1383,1,5581,351,351,6,6,1945
26,44,105665,1085591,6879,2,16948,1158,1158,17,18,1934
27,45,52527,186680,1244,1,3602,311,311,3,3,1944
28,46,67949,541196,3228,2,13996,693,693,16,17,1933
29,47,23220,104878,674,1,2709,135,135,2,2,1945
30,48,75030,486956,3438,2,7968,573,573,8,9,1943
31,49,30683,216379,1535,1,3347,200,200,4,4,1942
32,50,119856,546899,2573,1,11052,383,383,10,10,1940
33,52,104519,771325,4889,2,15118,820,820,14,15,1925
34,60,70662,351634,1740,2,7113,377,377,7,7,1949
35,61,28351,131690,640,1,2987,207,207,2,3,1936
36,62,22364,108201,577,1,2841,225,225,3,3,1932
37,63,33932,91064,1572,1,1830,172,172,1,1,1941
38,66,30793,154709,1055,2,3588,219,219,3,3,1932
39,67,28320,114400,759,1,2952,168,168,3,3,1930
40,68,32690,151736,747,1,3167,197,197,3,3,1926
41,69,26833,89069,709,1,2004,110,110,2,2,1952
42,70,46253,235936,1234,1,5930,334,334,5,5,1924
43,71,39627,278481,1644,1,5930,272,272,5,6,1923
44,72,43801,209876,3086,2,2752,261,261,3,3,1920
45,73,33004,170581,1465,2,4375,278,278,4,5,1945
46,75,36823,146166,1280,1,3143,223,223,3,4,1938
47,76,54291,267595,2521,2,3897,332,332,4,4,1918
48,77,31325,239899,1374,2,5574,251,251,6,6,1920
49,78,67273,358822,1787,2,3926,391,391,4,4,1914
50,79,24870,189773,1464,2,4409,271,271,4,5,1925
51,81,16623,121760,938,1,3381,179,179,3,4,1920
52,83,19149,128247,1085,2,3456,266,266,3,4,1934
53,84,231124,1763274,11007,2,9152,1472,1472,9,10,1912
54,88,69191,529923,4794,2,6531,307,307,6,7,1923
55,90,67447,440553,3681,3,6686,527,527,7,7,1935
56,94,55810,367533,2769,2,4422,479,479,5,5,1926
57,100,49214,125982,2278,1,3237,112,112,3,3,1949
58,101,50082,174849,916,1,4145,151,151,4,4,1956
59,102,33783,110315,659,1,2394,143,143,2,2,1926
60,103,35377,152925,1462,1,2333,299,299,2,2,1936
61,104,25833,93011,921,1,2043,164,164,2,2,1933
62,105,27112,81232,484,1,1639,77,77,1,1,1942
63,106,19192,68364,368,1,1765,119,119,1,1,1938
64,107,53620,199936,1020,1,3244,130,130,2,3,1945
65,108,92749,512005,4532,2,4981,369,369,5,6,1940
66,109,52682,200888,1124,1,3051,255,255,2,3,1949
67,110,96628,357336,1658,2,4102,390,390,4,4,1946
68,111,46993,130417,459,1,2211,103,103,1,1,1948
69,112,67384,332396,1282,1,5836,463,463,5,5,1939
70,113,148031,341196,1028,1,1775,81,81,1,1,1940
71,114,72335,341942,2176,2,4124,348,348,5,5,1938
72,115,100148,381938,900,1,3420,241,241,3,4,1941
73,120,30022,93502,790,1,2104,122,122,1,2,1947
74,121,31702,97797,710,1,1880,238,238,1,1,1965
75,122,30665,77713,352,1,1744,79,79,1,1,1967
76,123,23054,64806,324,1,1932,88,88,1,1,1979
