,PolicePrct,AssessLand,AssessTot,BldgArea,ComArea,FactryArea,NumBldgs,NumFloors,OfficeArea,ResArea,RetailArea,StrgeArea,UnitsRes,UnitsTotal
0,1.0,4941621996,25264615795,198487950,133322566,212740,2557,18095.0,97356306,58991365,10304679,2526271,49593,62792
1,5.0,1162673287,6068516630,49352379,29535426,148388,1987,9479.75,15099791,18223669,5199348,1151739,23046,29655
2,6.0,1570692165,7877815161,59752755,20108436,178168,3405,13362.5,7359982,34846366,4642044,310958,42529,47573
3,7.0,661939828,2894539398,33222090,7379971,10300,1143,5204.75,663133,25100944,1808035,176751,27984,32368
4,9.0,1027594437,5483022276,47751369,13112584,27029,2727,12379.75,3940056,32730028,4044639,352016,43248,46911
5,10.0,2016020834,10903608109,86269979,45155177,1306004,1757,9124.32,20820038,36803717,5910163,4314170,44182,49464
6,13.0,3263153041,16002586900,119094056,58639133,83494,2463,15954.75,36397376,56156986,8341326,4781644,59134,71640
7,14.0,5610463664,27072052826,167164266,134221582,819608,1563,16012.75,101796319,15861460,13801281,6549043,19791,47926
8,17.0,4124867050,18440411095,123212245,56800648,11070,1978,16072.5,44245910,59913247,4643607,343768,63370,71473
9,18.0,9134494910,42631233296,209037621,137622529,1022731,2419,20225.0,104120740,48230278,15591428,1797757,51275,66206
10,19.0,6499985910,27283789921,202471399,46316666,171699,5968,37303.75,13096719,152733686,9021743,710392,139172,146874
11,20.0,3515785239,13447626437,98325845,19155955,6846,2496,15768.84,3760903,77034240,3231509,159160,72094,75232
12,22.0,2862272700,3528819900,187270,0,0,70,14.5,0,187270,0,0,24,24
13,23.0,476249651,3129882339,43195904,12678082,50774,1357,5816.75,1715700,30117577,1257862,346488,33533,35145
14,24.0,1276694996,6041376673,70676522,8693968,5021,2261,12400.98,645050,59839016,2030678,158974,57870,60065
15,25.0,472143991,1962432539,29738746,10740347,310791,1907,6666.5,1648702,18843847,2228193,499922,23968,25483
16,26.0,455836271,3323417526,51019948,30083210,10194,819,3924.5,5688369,19539545,785927,300266,20404,21540
17,28.0,299522487,1832768193,29711353,7488894,14167,2183,8507.0,1847265,21672843,2309173,156007,22812,24227
18,30.0,184852452,1186269009,27529063,3412244,3000,1816,7281.75,339031,23683359,940938,325928,25781,26775
19,32.0,349634083,2093794786,43964069,8715502,229157,2470,9071.5,1024203,33273687,1224599,153529,38368,39803
20,33.0,439275607,2583933795,41265625,14565905,29264,1197,5548.75,875658,26581149,1252273,8095,28169,29413
21,34.0,561838810,2700789461,51157355,10582601,123187,1701,6326.25,770513,40435783,2182071,443538,45081,47205
22,40.0,276912532,2297543607,61700592,24801733,5792466,4305,10776.5,6641357,36291516,2797690,3628540,38133,40966
23,41.0,268926138,1412129219,35663823,17438278,4761247,3209,6875.25,2010733,17951865,1376993,4135721,19434,21577
24,42.0,233987855,1525560315,45078000,12297644,1452670,3670,9831.67,3962206,32120775,1852676,947226,34249,36154
25,43.0,435630535,2250440372,75890941,14659864,1409645,13607,23663.250000000004,1268141,58820878,3675859,809737,64678,66779
26,44.0,349997108,3283705390,71921490,20553583,528430,3348,10373.75,5797309,50796259,3460621,653080,54301,56673
27,45.0,813999657,2742812178,73128818,17884030,704291,20597,29320.729999999887,4108098,51722743,4485595,783409,49865,52073
28,46.0,238552987,1691090911,53405420,9887544,216787,3464,10208.01,4251870,43028228,2131711,309910,50701,52704
29,47.0,503413508,2114706898,71468454,13774980,1535014,24836,43597.15999999989,1176900,53377590,2689549,1276287,55136,57845
30,48.0,311236337,1857422045,43532367,12830476,454000,4434,11150.84,4526513,30143648,2140310,641537,33591,35718
31,49.0,389079954,2659538957,63780781,18770179,506724,15338,25511.109999999957,6579428,40971157,2457353,746512,52783,55053
32,50.0,579063940,2485376596,62040414,11733460,129801,5548,12104.430000000002,920996,49402254,1727532,491172,44877,46212
33,52.0,397366087,2685409049,69190540,16817740,62814,4142,11484.75,4239537,52080207,2845467,294532,51795,54584
34,60.0,639845581,2381319144,56517557,10774632,313286,8022,14313.93,4279282,44059866,2337088,765243,46847,48626
35,61.0,2838812464,5201997579,86912384,14554183,317670,30796,47204.729999999865,4327527,67713502,4685613,242510,65031,69204
36,62.0,499237013,2354242352,77079650,12478200,771940,29570,47146.26999999999,2410951,61433804,4872020,459452,66252,70100
37,63.0,2299196960,3571287143,80504877,35135818,401501,30451,44119.69999999993,1770013,40735069,3841298,651421,37880,39996
38,66.0,619803276,2981387003,90481568,20240592,1068341,24988,45987.85,4218255,68237534,4150083,741173,61144,66436
39,67.0,523259356,2067917698,70445650,13642143,892271,25194,37460.98999999997,1557098,52987732,3022884,1202682,58251,61334
40,68.0,574332345,2581601950,68966443,12777613,272820,24331,38184.51999999999,3667507,53533459,3333444,140893,53453,56633
41,69.0,394037239,1174906405,39029601,10691329,2197002,14633,25199.08999999996,1356032,25085214,1379755,666695,27352,28457
42,70.0,552560255,2750977364,83568748,14269741,107222,17047,30234.639999999996,2461977,68949100,3865292,313575,62375,65537
43,71.0,286770062,1920832957,53214956,11137526,133146,8795,16857.07,2393084,40499787,1855253,384577,40005,41950
44,72.0,605196748,2766634524,79345079,40113044,10375740,14661,31613.63,3077271,35789207,3410147,5728559,41501,45786
45,73.0,296468458,1328954075,44806526,11187703,901466,8599,18104.5,2640990,32832318,2089814,631924,36438,38770
46,75.0,950954632,3219573498,89223208,25342880,4698227,23597,42110.35999999999,5949486,61958956,4402597,2811445,65993,80325
47,76.0,353338451,1481016773,35558304,13406404,3434489,5985,15117.44,1799622,20773067,1736810,1622162,22815,24786
48,77.0,242182891,1725585476,51156877,9668574,739819,7786,20432.75,2522069,39478057,1765218,652253,44202,46413
49,78.0,602836709,3104173582,52360798,15561388,2644380,8996,25447.5,2932210,33580450,3310307,1123190,35796,38631
50,79.0,250101665,1630370384,52171605,12209056,1930002,9026,24725.829999999994,3498669,36901570,2250104,732409,40563,43035
51,81.0,152577177,963774554,36445687,7141308,104401,8053,19654.25,2666795,26001244,1370952,175429,30107,31543
52,83.0,253114488,1428978655,51218381,11612990,1478593,11590,27685.33,884325,37427531,2841135,763479,42984,45594
53,84.0,896451326,6536777674,78525077,39330054,592343,3917,14219.25,20885441,35046060,5383767,1382991,36928,58284
54,88.0,317557768,2365388355,49675246,20277431,1598025,4802,13839.59,3556825,28274150,1342090,1184976,30292,32743
55,90.0,554813093,3178169644,72949985,25168503,9371918,8444,21680.5,3135383,46366310,3641449,2183129,48787,54264
56,94.0,467427514,2803147024,54410306,20115747,6607405,8552,20630.0,2422456,32832873,3495741,2276616,38262,43479
57,100.0,1861546954,2429213513,41242006,16668313,274519,13780,15010.440000000011,323985,23554848,822124,408959,22418,23085
