precinct_me,total_pop2014,total_pop2015,total_pop2016,total_pop2017,model_14,model_15,model_16,model_17
1.0,72080,73317,74817,75871,172.5456795416432,174.01029080867897,176.8313515035108,177.267200556257
5.0,49233,50020,49910,50839,117.85434851378635,118.71727902464808,117.96320025582722,118.78171118186856
6.0,58063,57892,58586,59687,138.9916730192346,137.40065408426483,138.4690853574012,139.4544344954108
7.0,60446,61181,59160,59018,144.6961174469224,145.20675425843652,139.82574488348504,137.89136353058714
9.0,79449,78609,77451,75718,190.18565058135422,186.570303615525,183.0568588061325,176.90972692753053
10.0,46847,48621,48711,49476,112.14272266214428,115.39689771006427,115.12934176841514,115.59715852857312
13.0,106449,106411,105990,106372,254.81846616992758,252.55546537968465,250.50930865788675,248.5306198359079
14.0,12527,12491,12543,12716,29.987232625113272,29.64609220905396,29.645610515104007,29.71003047637917
17.0,76675,77905,77985,79570,183.54522723162452,184.89943267523407,184.31897759869136,185.90965122723267
18.0,56486,57719,58468,60826,135.21663782726498,136.9900565378581,138.19019019350242,142.11562706481908
19.0,211079,212372,213530,213990,505.28259561557314,504.0429024594675,504.68207073986747,499.97243013843814
20.0,97990,97345,96550,98191,234.56924442682603,231.03825523099496,228.19769554598514,229.4162946292975
22.0,22257,21311,22574,22641,53.2789843168473,50.57944688713065,53.35406296483759,52.899087764682356
23.0,71312,72444,73304,74677,170.70723500934602,171.93831590686938,173.25534825792744,174.47750439482286
24.0,91033,89473,87814,87305,217.91552227683692,212.3548801713782,207.54999934412368,203.98192912396064
25.0,58731,59796,61049,63165,140.5907367530556,141.91960049096073,144.29043102420349,147.58053436933707
26.0,56655,57223,57094,58212,135.62119137668975,135.81285201174404,134.94271599691845,136.00820180017178
28.0,45799,46492,47074,49074,109.63401189411373,110.3439371534174,111.26026224890424,114.65791409231139
30.0,49711,50927,50018,50881,118.99858873050258,120.86994939800584,118.21846023634475,118.87984119759741
32.0,71521,72320,74354,74371,171.20754087816127,171.64401477534085,175.73704251295885,173.76255713736987
33.0,74931,76045,77459,77569,179.3704261061996,180.48491570230632,183.07576695283754,181.23445690643726
34.0,127647,128412,129346,131626,305.5624078309119,304.7725556599982,305.7116429631382,307.53479643629163
40.0,108547,110311,112814,111869,259.8406753219582,261.81171064550085,266.6379577972529,261.3739697516563
41.0,49758,50435,50619,51014,119.1110977057864,119.7022384567798,119.63893475755798,119.1905862474054
42.0,68689,70577,70706,72909,164.42827666531534,167.5071851603876,167.11492761547825,170.3466980184279
43.0,166540,166288,169104,169679,398.66478178225947,394.66731096462775,399.6804050503187,396.4429271155663
44.0,149061,148542,148697,152625,356.8234120166049,352.5490216089419,351.44808632419836,356.5974678717656
45.0,123204,122950,120964,121089,294.92671895461444,291.80906549541146,285.900632252973,282.9158446330825
46.0,132892,135367,137707,141218,318.11793071098845,321.2795263840371,325.47301978820275,329.9458228856019
47.0,153637,155704,157206,160907,367.77747735487566,369.54728535093574,371.55926386330543,375.9477724019144
48.0,91486,93824,94817,96755,218.99991729393415,222.6815271333183,224.10171826601422,226.06118266294956
49.0,139751,140725,140009,139366,334.5370596784709,333.99618334153536,330.91383900256693,325.6187564777493
50.0,91799,92293,92380,94559,219.74917919316462,219.04785751742995,218.34182407600318,220.93038469769883
52.0,139199,143036,143730,146582,333.2156776708823,339.481102010587,339.70849073873063,342.47842775154226
60.0,103026,104065,106088,110517,246.62446143808734,246.9874778428629,250.74093345502303,258.21511781676605
61.0,169256,171197,173415,176807,405.166364268873,406.31831301844613,409.86953260597636,413.096992642118
62.0,188431,193758,192508,194938,451.0676323766839,459.864505183082,454.9961882358002,455.4587858606797
63.0,128147,127999,127664,130219,306.75931182329293,303.79234302031045,301.7362051184117,304.24744090937554
66.0,214705,213432,211680,210812,513.96254336832,506.55870245479184,500.3095618143359,492.54725894828925
67.0,153295,152833,154603,153644,366.9587950240871,362.73326479756173,365.4070256291656,358.9782889676629
