,precinct,resident_pop_x,county,day_allocation,adjusted_day_precinct
0,1.0,66751,61.0,271932.34196700965,338683.34196700965
1,5.0,57779,61.0,59919.3572344052,117698.35723440521
2,6.0,61230,61.0,40623.963766814464,101853.96376681447
3,7.0,51539,61.0,14779.598968794442,66318.59896879444
4,9.0,77426,61.0,26164.362215849465,103590.36221584947
5,10.0,59920,61.0,91240.03519395011,151160.0351939501
6,13.0,80969,61.0,119661.42721050799,200630.42721050797
7,14.0,15038,61.0,269737.28507670626,284775.28507670626
8,17.0,80401,61.0,113623.37803761841,194024.37803761841
9,18.0,53277,61.0,279366.69267390046,332643.69267390046
10,19.0,203662,61.0,93887.70161665039,297549.7016166504
11,20.0,104612,61.0,38507.573309516636,143119.57330951665
12,22.0,3,61.0,0.0,3.0
13,23.0,66486,61.0,25760.110643584514,92246.11064358451
14,24.0,109054,61.0,17733.242298624715,126787.24229862471
15,25.0,55376,61.0,20720.00434832341,76096.00434832342
16,26.0,50555,61.0,61618.98724305509,112173.98724305509
17,28.0,48111,61.0,15085.063804679019,63196.06380467902
18,30.0,62696,61.0,6764.838036361218,69460.83803636122
19,32.0,76744,61.0,17593.49191089617,94337.49191089618
20,33.0,81104,61.0,29751.943602647854,110855.94360264785
21,34.0,120933,61.0,21530.600840104562,142463.60084010457
22,40.0,92453,5.0,18998.597672871638,111451.59767287163
23,41.0,54384,5.0,13107.992759499122,67491.99275949912
24,42.0,78792,5.0,9350.772621333668,88142.77262133367
25,43.0,176012,5.0,11076.684677279369,187088.68467727938
26,44.0,146265,5.0,15762.846150683705,162027.8461506837
27,45.0,125329,5.0,13683.223629092574,139012.22362909256
28,46.0,130988,5.0,7577.9556520401475,138565.95565204014
29,47.0,151576,5.0,10187.465580861088,161763.46558086108
30,48.0,80265,5.0,9773.407912043845,90038.40791204384
31,49.0,124731,5.0,14395.04578045481,139126.04578045482
32,52.0,135102,5.0,12816.00756384004,147918.00756384004
33,50.0,101487,81.0,9366.632666636535,110853.63266663653
34,100.0,48557,81.0,13518.041790433377,62075.04179043337
35,101.0,67491,81.0,4339.6729012569585,71830.67290125696
36,102.0,149178,81.0,10748.993933952965,159926.99393395297
37,103.0,109898,81.0,16984.935457007843,126882.93545700784
38,104.0,168770,81.0,23163.749579311992,191933.749579312
39,105.0,199805,81.0,16779.630875009956,216584.63087500996
40,106.0,132213,81.0,7180.115923004302,139393.1159230043
41,107.0,151884,81.0,15898.014820800525,167782.0148208005
42,108.0,110476,81.0,37003.47136129421,147479.4713612942
43,109.0,249001,81.0,30657.734274534625,279658.7342745346
44,110.0,157254,81.0,15779.641287299986,173033.64128729998
45,111.0,120195,81.0,9379.055004047677,129574.05500404768
46,112.0,112273,81.0,10441.531896719698,122714.5318967197
47,113.0,122961,81.0,21250.00165989868,144211.00165989867
48,115.0,180929,81.0,10551.776568790674,191480.77656879066
49,60.0,98986,47.0,6897.762168890331,105883.76216889033
50,61.0,152725,47.0,9244.491826068666,161969.49182606867
51,62.0,178273,47.0,7980.440098099115,186253.44009809912
52,63.0,118960,47.0,22402.307553149585,141362.30755314959
53,66.0,185790,47.0,12720.262168800265,198510.26216880025
54,67.0,164853,47.0,8720.799487790899,173573.7994877909
55,68.0,132250,47.0,8055.788706712522,140305.7887067125
56,69.0,88622,47.0,5683.713486649074,94305.71348664907
57,70.0,152571,47.0,9101.52493825142,161672.52493825142
58,71.0,101871,47.0,7121.926986347782,108992.92698634778
59,72.0,144015,47.0,25562.737347505183,169577.73734750517
60,73.0,86275,47.0,7014.330231635388,93289.3302316354
61,75.0,179974,47.0,15843.18711617792,195817.18711617793
62,76.0,48042,47.0,8425.675294836643,56467.67529483664
63,77.0,85833,47.0,6179.149055607369,92012.14905560737
64,78.0,67009,47.0,9603.519050402627,76612.51905040262
65,79.0,82822,47.0,7733.173986273187,90555.17398627319
66,81.0,69287,47.0,4557.399494446311,73844.3994944463
67,83.0,120798,47.0,7320.8493888593675,128118.84938885937
68,84.0,52942,47.0,24641.40329673058,77583.40329673058
69,88.0,53811,47.0,12672.841024905263,66483.84102490527
70,90.0,114595,47.0,15890.548037052493,130485.54803705249
71,94.0,59485,47.0,12705.169254808015,72190.16925480802
72,120.0,114782,85.0,7708.104951565072,122490.10495156507
73,121.0,115487,85.0,7804.168145704773,123291.16814570477
74,122.0,141713,85.0,5599.238966522797,147312.2389665228
75,123.0,98241,85.0,3837.4879362073575,102078.48793620736
