Precinct,2010_BURGLARY                              ,2011_BURGLARY                              ,2012_BURGLARY                              ,2013_BURGLARY                              ,2014_BURGLARY                              ,2015_BURGLARY                              ,2016_BURGLARY                              ,2017_BURGLARY                              ,2018_BURGLARY                              ,2010_FELONY ASSAULT                        ,2011_FELONY ASSAULT                        ,2012_FELONY ASSAULT                        ,2013_FELONY ASSAULT                        ,2014_FELONY ASSAULT                        ,2015_FELONY ASSAULT                        ,2016_FELONY ASSAULT                        ,2017_FELONY ASSAULT                        ,2018_FELONY ASSAULT                        ,2010_GRAND LARCENY                         ,2011_GRAND LARCENY                         ,2012_GRAND LARCENY                         ,2013_GRAND LARCENY                         ,2014_GRAND LARCENY                         ,2015_GRAND LARCENY                         ,2016_GRAND LARCENY                         ,2017_GRAND LARCENY                         ,2018_GRAND LARCENY                         ,2010_GRAND LARCENY OF MOTOR VEHICLE                                  ,2011_GRAND LARCENY OF MOTOR VEHICLE                                  ,2012_GRAND LARCENY OF MOTOR VEHICLE                                  ,2013_GRAND LARCENY OF MOTOR VEHICLE                                  ,2014_GRAND LARCENY OF MOTOR VEHICLE                                  ,2015_GRAND LARCENY OF MOTOR VEHICLE                                  ,2016_GRAND LARCENY OF MOTOR VEHICLE                                  ,2017_GRAND LARCENY OF MOTOR VEHICLE                                  ,2018_GRAND LARCENY OF MOTOR VEHICLE                                  ,2010_MURDER & NON NEGL. MANSLAUGHTER                                ,2011_MURDER & NON NEGL. MANSLAUGHTER                                ,2012_MURDER & NON NEGL. MANSLAUGHTER                                ,2013_MURDER & NON NEGL. MANSLAUGHTER                                ,2014_MURDER & NON NEGL. MANSLAUGHTER                                ,2015_MURDER & NON NEGL. MANSLAUGHTER                                ,2016_MURDER & NON NEGL. MANSLAUGHTER                                ,2017_MURDER & NON NEGL. MANSLAUGHTER                                ,2018_MURDER & NON NEGL. MANSLAUGHTER                                ,2010_RAPE                                  ,2011_RAPE                                  ,2012_RAPE                                  ,2013_RAPE                                  ,2014_RAPE                                  ,2015_RAPE                                  ,2016_RAPE                                  ,2017_RAPE                                  ,2018_RAPE                                  ,2010_ROBBERY                               ,2011_ROBBERY                               ,2012_ROBBERY                               ,2013_ROBBERY                               ,2014_ROBBERY                               ,2015_ROBBERY                               ,2016_ROBBERY                               ,2017_ROBBERY                               ,2018_ROBBERY                               ,2010_TOTAL SEVEN MAJOR FELONY OFFENSES,2011_TOTAL SEVEN MAJOR FELONY OFFENSES,2012_TOTAL SEVEN MAJOR FELONY OFFENSES,2013_TOTAL SEVEN MAJOR FELONY OFFENSES,2014_TOTAL SEVEN MAJOR FELONY OFFENSES,2015_TOTAL SEVEN MAJOR FELONY OFFENSES,2016_TOTAL SEVEN MAJOR FELONY OFFENSES,2017_TOTAL SEVEN MAJOR FELONY OFFENSES,2018_TOTAL SEVEN MAJOR FELONY OFFENSES,2010_TOTAL_7_MAJOR,2011_TOTAL_7_MAJOR,2012_TOTAL_7_MAJOR,2013_TOTAL_7_MAJOR,2014_TOTAL_7_MAJOR,2015_TOTAL_7_MAJOR,2016_TOTAL_7_MAJOR,2017_TOTAL_7_MAJOR,2018_TOTAL_7_MAJOR
1,170,155,188,171,145,138,117,65,85,68,94,110,87,76,86,78,91,61,1065,979,985,1051,896,1114,1081,1068,1085,38,59,41,27,33,21,50,17,21,2,0,1,0,0,1,0,9,1,6,13,10,12,8,7,9,18,23,96,102,81,68,50,79,60,69,80,1445,1402,1416,1416,1208,1446,1395,1337,1356,2890,2804,2832,2832,2416,2892,2790,2674,2712
5,127,120,138,92,101,86,81,86,130,128,117,157,167,125,140,135,151,122,582,560,548,599,536,559,563,545,531,15,27,21,12,26,21,10,11,21,1,0,3,3,2,1,0,0,1,10,11,12,5,4,10,8,7,7,106,127,122,102,76,100,102,89,85,969,962,1001,980,870,917,899,889,897,1938,1924,2002,1960,1740,1834,1798,1778,1794
6,176,182,140,132,163,148,106,131,163,94,111,111,135,128,93,111,131,121,1053,992,1124,1253,1127,1126,1003,998,1031,45,48,35,33,45,32,33,24,28,1,1,1,2,2,0,0,0,1,13,15,15,8,11,8,15,9,20,148,155,148,140,99,114,120,139,153,1530,1504,1574,1703,1575,1521,1388,1432,1517,3060,3008,3148,3406,3150,3042,2776,2864,3034
7,101,83,92,67,56,85,55,65,93,126,119,122,106,153,144,148,178,153,284,316,350,362,372,409,440,461,518,49,40,32,24,29,26,33,18,22,1,5,0,1,0,1,1,0,0,11,14,19,6,7,9,17,9,15,130,127,147,145,115,107,129,134,118,702,704,762,711,732,781,823,865,919,1404,1408,1524,1422,1464,1562,1646,1730,1838
9,220,209,193,165,138,135,112,131,161,151,141,172,152,152,126,180,148,149,759,750,802,904,876,878,961,841,835,50,50,59,46,31,44,43,41,32,4,1,1,2,2,1,5,3,0,14,13,15,18,22,19,10,16,40,189,186,177,137,110,134,152,120,85,1387,1350,1419,1424,1331,1337,1463,1300,1302,2774,2700,2838,2848,2662,2674,2926,2600,2604
10,99,118,89,101,72,71,77,80,78,131,93,81,98,110,106,95,105,97,651,627,764,762,709,736,726,653,744,42,46,27,39,35,31,31,35,26,2,3,3,1,0,1,0,0,1,10,13,10,12,7,11,9,18,19,114,137,114,110,89,105,94,90,81,1049,1037,1088,1123,1022,1061,1032,981,1046,2098,2074,2176,2246,2044,2122,2064,1962,2092
13,252,245,188,214,245,234,178,144,195,140,126,129,135,174,198,163,149,174,1481,1424,1467,1615,1433,1397,1371,1254,1376,55,43,37,52,53,59,26,30,37,3,2,1,1,0,2,2,3,2,13,17,17,11,12,19,23,18,18,192,187,183,124,144,147,116,96,152,2136,2044,2022,2152,2061,2056,1879,1694,1954,4272,4088,4044,4304,4122,4112,3758,3388,3908
14,354,327,316,345,275,301,253,226,210,182,178,191,172,165,180,179,233,199,2325,2171,2176,2138,2090,2059,2121,1962,2005,23,26,18,22,25,28,23,23,23,0,2,1,2,0,7,2,3,0,17,15,9,10,12,13,18,21,19,168,177,185,174,177,221,201,177,150,3069,2896,2896,2863,2744,2809,2797,2645,2606,6138,5792,5792,5726,5488,5618,5594,5290,5212
17,96,96,135,107,124,98,84,83,80,54,53,80,64,46,74,72,83,91,745,694,721,766,634,721,742,755,748,31,21,25,20,30,40,26,22,26,0,0,2,0,0,1,1,2,0,8,10,10,6,11,3,10,6,13,56,63,47,61,64,49,65,72,63,990,937,1020,1024,909,986,1000,1023,1021,1980,1874,2040,2048,1818,1972,2000,2046,2042
18,188,183,171,175,213,220,208,203,175,131,110,127,168,172,157,190,166,190,1809,1758,1830,1753,1831,1773,1862,1838,1875,48,29,44,36,37,37,31,42,31,3,0,4,0,2,0,0,1,3,15,11,14,14,10,15,13,26,21,137,137,123,125,129,159,163,135,130,2331,2228,2313,2271,2394,2361,2467,2411,2425,4662,4456,4626,4542,4788,4722,4934,4822,4850
19,234,250,241,252,218,174,216,203,227,96,108,120,97,103,124,129,126,147,1291,1232,1452,1548,1402,1414,1435,1444,1465,89,83,78,57,82,75,73,58,71,1,3,0,0,0,1,2,0,1,16,15,16,6,12,9,5,16,14,144,137,129,104,96,107,99,125,138,1871,1828,2036,2064,1913,1904,1959,1972,2063,3742,3656,4072,4128,3826,3808,3918,3944,4126
20,101,74,105,85,88,66,59,78,82,56,49,51,57,45,58,65,60,83,678,629,721,712,674,645,641,712,656,33,19,41,22,31,30,28,21,28,1,0,2,2,0,0,0,2,0,11,11,12,10,8,6,4,8,13,90,76,96,81,53,68,57,71,61,970,858,1028,969,899,873,854,952,923,1940,1716,2056,1938,1798,1746,1708,1904,1846
22,2,1,2,6,2,3,3,1,0,6,10,7,5,11,3,6,5,4,63,70,76,73,48,50,46,36,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,7,2,1,4,1,3,1,5,3,23,18,15,16,20,27,23,17,13,101,101,101,104,83,86,79,66,47,202,202,202,208,166,172,158,132,94
23,94,95,103,99,107,109,96,95,72,217,242,263,256,254,301,330,321,316,252,261,320,383,342,330,315,315,296,36,32,26,37,24,33,29,19,21,5,5,2,4,4,7,2,3,4,26,28,29,17,15,24,21,14,9,248,207,271,266,255,221,192,142,145,878,870,1014,1062,1001,1025,985,909,863,1756,1740,2028,2124,2002,2050,1970,1818,1726
24,124,89,135,109,146,109,132,149,141,102,126,131,152,121,106,130,128,122,528,449,576,547,563,597,671,617,598,45,43,46,42,44,54,29,41,56,2,5,4,2,1,1,1,2,3,11,12,10,10,13,10,8,14,15,192,187,178,160,132,141,129,140,139,1004,911,1080,1022,1020,1018,1100,1091,1074,2008,1822,2160,2044,2040,2036,2200,2182,2148
25,105,116,133,132,107,113,79,93,115,234,227,286,286,335,351,335,326,357,230,239,319,365,319,366,391,465,478,72,35,34,45,32,40,42,30,32,13,9,10,3,5,5,4,2,3,17,23,29,22,28,24,22,25,43,228,231,245,258,220,226,180,170,191,899,880,1056,1111,1046,1125,1053,1111,1219,1798,1760,2112,2222,2092,2250,2106,2222,2438
26,79,57,60,59,59,64,55,56,61,107,100,113,122,84,78,94,87,100,268,269,324,343,311,302,309,329,381,26,27,23,20,20,24,22,16,22,2,2,3,1,2,0,0,1,1,13,7,10,9,16,6,10,11,11,175,154,145,135,125,123,107,96,107,670,616,678,689,617,597,597,596,683,1340,1232,1356,1378,1234,1194,1194,1192,1366
