,precinct,total,UnitsTotal,total_vacant_pct
0,1.0,592,60567,0.9774299536050985
1,5.0,500,29370,1.7024174327545116
2,6.0,2479,47287,5.242455643200033
3,7.0,207,31892,0.6490655963878088
4,9.0,1271,45741,2.7786887037887236
5,10.0,1819,46205,3.936803376257981
6,13.0,4128,70780,5.832155976264482
7,14.0,514,45242,1.1361124618717122
8,17.0,5378,70032,7.679346584418552
9,18.0,7548,64582,11.687467096094888
10,19.0,10679,145691,7.329896836455238
11,20.0,4541,74200,6.119946091644205
12,23.0,853,34321,2.4853588182162523
13,25.0,801,24458,3.2750020443208765
14,26.0,819,21514,3.8068234637910194
15,28.0,1247,24018,5.191939378799234
16,32.0,1354,39526,3.4255932803724134
17,33.0,812,29330,2.768496420047733
18,34.0,1846,47041,3.9242363045003295
19,40.0,1056,40166,2.629089279490116
20,41.0,400,21203,1.8865254916757064
21,42.0,644,34880,1.846330275229358
22,43.0,2003,66278,3.022118953498899
23,44.0,1126,56020,2.0099964298464834
24,45.0,1296,51992,2.492691183258963
25,46.0,1094,52484,2.0844447831720143
26,47.0,2458,57731,4.25767785072145
27,48.0,1462,34659,4.218240572434288
28,49.0,1594,54946,2.9010301022822405
29,50.0,1936,46074,4.201936015974303
30,52.0,1001,54019,1.8530517040300634
31,60.0,1757,48526,3.620739397436426
32,61.0,3210,68450,4.689554419284149
33,62.0,2751,69893,3.9360164823372874
34,63.0,1532,39980,3.8319159579789894
35,66.0,2805,65531,4.28041690192428
36,67.0,3787,61142,6.19377841745445
37,68.0,3421,56551,6.049406730208131
38,69.0,1603,28425,5.639401934916447
39,70.0,2433,64584,3.767186919360833
40,71.0,1423,41455,3.4326378000241227
41,72.0,1832,45569,4.020276942658387
42,73.0,1673,38288,4.369515252820727
43,75.0,5739,79065,7.258584708783912
44,76.0,737,24386,3.0222258673009104
45,77.0,1386,45706,3.0324246269636372
46,78.0,1533,37715,4.06469574439878
47,79.0,2914,42134,6.916029809654911
48,81.0,1836,30678,5.9847447682378245
49,83.0,2470,44244,5.582677877226291
50,84.0,1080,37970,2.844350803265736
51,88.0,792,30677,2.581738761938912
52,90.0,1304,52810,2.469229312630184
53,94.0,779,41466,1.8786475666811364
54,101.0,273,24181,1.1289855671808446
55,102.0,3105,49734,6.243213897937025
56,103.0,1000,40196,2.487809732311673
57,104.0,3739,71398,5.23684136810555
58,105.0,1610,65703,2.4504208331430832
59,106.0,1303,41913,3.108820652303581
60,107.0,2287,59224,3.8616101580440363
61,108.0,3967,64533,6.147242496087273
62,109.0,5734,103643,5.532452746446938
63,110.0,2379,56514,4.209576388151608
64,111.0,1367,47303,2.88988013445236
65,112.0,3226,57665,5.594381340501171
66,113.0,1945,43909,4.429615796305997
67,114.0,7688,107966,7.120760239334606
68,115.0,4622,57422,8.049179756887606
69,120.0,2458,46830,5.248772154601751
70,121.0,1305,49562,2.633065655139018
71,122.0,1278,56858,2.2477048084702242
72,123.0,675,38403,1.7576751816264353
